username,resource,req,bloodgroup,contact,cities,tweet
CVDResourcesBot,ICU Bed,AVAILABLE,NA,['9160668686'],['Hyderabad'],"#ICU bed are available at PADMAVATHI MEDICAL CENTRE #Hyderabad

1 Regular &amp; 1 ICU beds were available.

Contact -  9160668686

Verified on Tuesday 4th  12:34

 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
yuva_srinivas_,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"*Verified on 6/May/2021 9:50 AM*
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. Could you please inform to others. Thank you"
Iampillodu,oxygen,AVAILABLE,NA,[],['Hyderabad'],Oxygen bed available #Hyderabad #Verified at 6 May https://t.co/MKb4e6qDRx
KRaju29878,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"@HyderabadCovid 
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. 
Verified on 6/May/2021 9:50 AM"
,,,,,,
Minieeeee_,oxygen,AVAILABLE,NA,['9666656328'],['Hyderabad'],"#covidinfoindia

Oxygen beds are available at Nandhini Hospital Sainikpuri

1 Regular, 10 Oxygen &amp; 3 ICU beds were available.

Contact -  9666656328

Verified at 08:55 P.M - 05/05/2021 by someone else (forwarded lead)
 Hyderabad

COVID19 COVIDEmergencyIndia
#Hyderabad"
CVDResourcesBot,oxygen,AVAILABLE,NA,"['8125259991', '8497971166']",['Hyderabad'],"@gouravaram_raja @SoodFoundation @KTRTRS @SonuSood @KTRoffice #CovidInfo #Hyderabad 

#OxygenBeds #OxygenCylinders 

#verified 💯

5 oxygen bed available in lb nagar

Contact 8125259991
               8497971166

#CovidSOS #CovidHelp #CovidIndia
#COVID19India #Covid19IndiaHelp"
CVDResourcesBot,oxygen,AVAILABLE,NA,"['8088917515', '9177972837']",['Hyderabad'],"*Verified @ 9:50 AM May 6th*
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515

*Verified @ 10:23 am May 6th* 
Prada hospital - Nacharam 
8 Oxygen beds and 4 ICU beds available. 
Contact number 9177972837"
leo_dicaprio_A,oxygen,AVAILABLE,NA,['8341816161'],['Hyderabad'],"1-2 #Oxygen #Bedsavailable at Shalini Hospital, #Hyderabad 

Call: 8341816161

Verified at 10.30am 6th May

#Verified4India #COVID19"
Jagadish_reddy9,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 
#COVIDEmergencyIndia"
MCK93211161,plasma,NEED,NA,['9492108767'],['Hyderabad'],"Hyderabad tweeple! 
Need two units of B positive plasma from MALE donors only! 
D.Srinivasulu
Required b+ve plasma 2 units
Age :54
Kamineni hospital, Lb nagar
Contact: 9492108767
Please help with any verified leads!
#COVIDHelpHyderabad #PlasmaRequirement"
Abhidhfm3,oxygen,UNKNOWN,NA,[],['Hyderabad'],"Ee Link lo verified plasma donors , remdesiver injections , oxygen cylinders anni unnay. Kindly share this.

Do RETWEET 

Note :
1. Only in Hyderabad.
2. Konni Un-Verified vi kuda unnay. Go only for verified ones ( my suggestion ) 

#CovidHelp #CovidIndia 
https://t.co/kPMflGmnUW"
mehraji1424,oxygen,UNKNOWN,NA,['9866940301'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 55L and 47L will be stocked in about two hours.
Cash and carry.
Contact - 9866940301

Verified at 7:14 PM on 05.05.2021 by Ebad"
GeevanJogi,oxygen,NEED,NA,[],['Hyderabad'],"@VK84015570 @beds_covid Here we go
URGENT- REQUIRED OXYGEN BED &amp; OXYGEN CYLINDER
Personally verified
NAME: P.Sreekanth 
Age :30 years
Saturation :85 
Residence :chandanagar lingampally , HYDERABAD
Contact:+91 77999 95990"
Jitendr45473612,oxygen,AVAILABLE,NA,['8374325678'],['Hyderabad'],"#Verified✅ @ 05/05/21, 10:10 AM
Only #OxygenBeds (No ventilators) Available
Phone: 8374325678
Location: Legend hospital Vanasthalipuram, 
#Hyderabad"
ChindiTweetah,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors #hyderabadcovidhelp #Hyderabad #HyderabadSOS @WeAreHyderabad @SonuSood @hydblooddonors"
harsh_a9,oxygen,NEED,NA,[],['Hyderabad'],"EMERGENCY NEED OXYGEN CYLINDER IN HYDERABAD 
Please call if u have any verified leads 
: 98668 83568

#hyderabadcovidhelp #OxygenEmergency #hyderabad #COVIDEmergency2021 @KTRTRS @TelanganaCOPs @SonuSood"
phy626,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Oxygen Cylinders Available in #Hyderabad 

Contact: +91 97002 38886

Personally verified 04/05/2021 (5mins ago)

Share with relevant ppl.

#Hyderabad #OxygenCylinders #COVID19India #COVIDEmergencyIndia"
anuDELIRIUM,oxygen,AVAILABLE,NA,['9666656328'],['Hyderabad'],"#Oxygen beds are available at Nandhini Hospital #Sainikpuri

1 Regular, 10 Oxygen &amp; 3 ICU beds were available.

Contact -  9666656328

Verified at 08:55 P.M - 05/05/2021 by someone else (forwarded lead)
 #Hyderabad

#COVID19 #COVIDEmergencyIndia"
viruztweet,plasma,NEED,NA,"['7200707069', '9866331641']",['Hyderabad'],"@kparveen2005 Needed Plasma donor 
B+ on Urgent basis in hyderabad
Patient name: Sreenivas Rao Pentyala
Age :55
Hospital Name : Sri Sigma Hospital ,Pillar number 1765, Hitech City , behind karachi bakery.
Contact person:
Surender -7200707069
SK-9866331641
Verified on 6th May 2021 8.45AM https://t.co/8mjBDipfAC"
ZoyaFlipper,oxygen,AVAILABLE,NA,"['8125259991', '8497971166']",['Hyderabad'],"#CovidInfo #Hyderabad 

#OxygenBeds #OxygenCylinders 

#verified 💯

5 oxygen bed available in lb nagar

Contact 8125259991
               8497971166

#CovidSOS #CovidHelp #CovidIndia
#COVID19India #Covid19IndiaHelp"
CVDResourcesBot,oxygen,AVAILABLE,NA,[],['Hyderabad'],"SatyaM HospitaL,AttapuR #Hyderabad

10 OxygeN BedS AvailablE
5 IsolatioN BedS AvailablE

+91 89787 09593 

LasT VerifieD 4.17pm TodaY (5MayS)
CORONA WarriorS

#Beds #COVIDSecondWave #COVIDEmergencyIndia 
#KonaseemaVasi 
@harika_bujji @Divya__Official @Sowmya_chinnu_ @Teju_Kalyan"
ManojReddiee,plasma,AVAILABLE,NA,['0402380225'],['Hyderabad'],"@Mohdomer28 @SonuSood @bhumipednekar @taapsee @zoo_bear Kindly call on below👇 given number,
#Verified #Plasma #Hyderabad Plasma exchange is available Location: Hyderabad Contact: St. Mother Theresa blood bank (04023802255) https://t.co/cdzYKmTzGn"
8hMahe8h,oxygen,UNKNOWN,NA,['7032118594'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 70-80kgs will be stocked in about two hours.
Cash and carry.
Contact -7032118594

Verified at 7:14 PM on 05.05.2021"
sharelaugh,oxygen,UNKNOWN,NA,"['7330867222', '7893982966', '7893982966']",['Hyderabad'],"@sunnysanketh78 @TelanganaCMO @TelanganaCS #HYDERABAD #Oxygen #Verified 

Deccan Alumni Association- 7330867222 is providing assistance in getting oxygen cylinders in Hyderabad.
1 Oxygen Cylinder of 10.2 L at Tolichowki, Hyderabad. 
Ph: 7893982966, Muzaffer Hussain
#HYDERABAD #Oxygen Refill
7893982966- Hussain provides"
kveesam19,oxygen,AVAILABLE,NA,['9666656328'],['Hyderabad'],"#Oxygen beds are available at Nandhini Hospital #Sainikpuri

1 Regular, 10 Oxygen &amp; 3 ICU beds were available.

Contact -  9666656328

Verified at 08:55 P.M - 05/05/2021
 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
fais5s,oxygen,UNKNOWN,NA,[],['Hyderabad'],"@VK84015570 @beds_covid 

Any leads for oxygen beds in Hyderabad...verified leads please.. There is a request from another group."
bprasanthreddy,oxygen,AVAILABLE,NA,[],['Hyderabad'],"For real-time verified covid beds (Oxygen, ICU, Ventilator) availability in Hyderabad, Guntur, Vijayawada &amp; Vizag visit https://t.co/mqWnnLyRvE

40+ volunteers @beds_covid are calling hospitals to update availability &amp; pricing.

Please retweet"
rubinafan1234,oxygen,UNKNOWN,NA,['9866940301'],['Hyderabad'],"#Hyderabad - #Oxygen Cylinders 55L and 47L will be stocked in about two hours.
Cash and carry.
Contact - 9866940301

Verified at 7:14 PM on 05.05.2021 

#CovidSOS #CovidIndiaInfo #CovidResources #CovidHelp"
guruchellapilla,oxygen,UNKNOWN,NA,[],['Hyderabad'],"Please share verified leads for #Oxygen suppliers, #OxygenConcentrators, #Ngo offering #groceries and ground level help in providing food and essentials to #covid affected patients and families in #Hyderabad #Secunderabad"
maruganspeaks,oxygen,UNKNOWN,NA,[],['Hyderabad'],This is verified. Please RT . For oxygen cylinders contact at Hyderabad. https://t.co/z6cf2DMNiY
Sandeep331998,oxygen,AVAILABLE,NA,"['8125259991', '8497971166']",['Hyderabad'],"Hyderabad 

#OxygenBeds #OxygenCylinders 
#verified
5 oxygen bed available in lb nagar

Contact 8125259991
               8497971166

#CovidSOS  
 #Covid19IndiaHelp
#Hyderabad"
pargaien,oxygen,UNKNOWN,NA,[],['Hyderabad'],"@sunnysanketh78 @TelanganaCMO @TelanganaCS #HYDERABAD #OxygenRefilling 

Hyderabad: Techno Gas is providing refilling of oxygen cylinders. They are located in Bolarum Industrial area, location: https://t.co/AiQhN5JpMx 

Contact Chaitanya at 90728 99999.
 Verified by Rikit at 12:10 PM, on 26th April.

#ICLUVerifies"
PradeepRao4BJP,oxygen,UNKNOWN,NA,"['9396589260', '7673929606', '7893932629', '8639042247']",['Hyderabad'],"@sunnysanketh78 @TelanganaCMO @TelanganaCS HYDERABAD #OxygenRefilling 

Hyderabad: Techno Gas is providing refilling of oxygen cylinders. 
Chaitanya at 90728 99999.
 Verified by Rikit at 12:10 PM, on 26th Apri
Baba Gas, Jalpally, Hyderabad - Received new stock. 

9396589260, 7673929606, 7893932629, 8639042247

Verified"
CVDResourcesBot,ICU Bed,AVAILABLE,NA,['40 2306 8066'],['Hyderabad'],"One #ICUBed without ventilator support is available at Sumana hospitals, #Hyderabad 

Contact: 040 2306 8066

Verified at 4:27 PM. 

#HyderabadSOS #Hyderabad #CovidHelpHyderabad 
@RRRMovie @SVC_official @GeethaArts"
_pilloyal,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"Hello All, FYI Please....... Meher Hospital, Hyderabad at 8088917515. _(Last verified: 5 minutes)
 - 25 oxygen beds are available. kindly inform to your circle. Thank you."
CVDResourcesBot,ICU Bed,AVAILABLE,NA,['0402714114'],['Hyderabad'],"15 #ICUBeds are available at Thatha hospital, ECIL, #Hyderabad 
(Without ventilator) 

Contact: 04027141147

Verified at 7:43 PM. 

#Hyderabad #Telangana 
@RRRMovie @GeethaArts"
,,,,,,
CVDResourcesBot,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"#SOS
ICU and Oxygen beds available in Hyderabad

Contact : Aditya Hospital, 9177972837 

Verified 
#COVIDEmergency #Covid19IndiaHelp"
red_sapphire1,oxygen,AVAILABLE,NA,[],['Hyderabad'],"#SOSHyderabad #SOSHyd #COVIDEmergency2021 

Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm 

@RRRMovie
 
@SureshProdns
 
@ynakg2
 
@CoreenaSuares2
 
@revathitweets"
resource_botIN,oxygen,AVAILABLE,NA,['9700238886'],['Hyderabad'],"#OXYGEN AVAILABLE (Hyderabad)

Name: Pramod
Contact: 9700238886
They provide oxygen cylinders and have stock available

Verified by someone
05/05/2021 at 13:31 PM

#covidresources #Oxygen #CovidHelp
#hyderabadcovid 
#COVIDEmergency2021 
#covidinfo"
senioreata,oxygen,AVAILABLE,NA,[],['Hyderabad'],"18 Oxygen Beds, 4 Bipap Beds &amp; 2 Ventilator Beds available at BHEL 🏥 

They're admitting people who's spo2 is above 87 👍🏻

Patient's will be given Ventilator after checking the condition.

kindly DM @deepaksomisetty for the help 🙏🏻

#COVID19India #Hyderabad 

#Verified 😷"
resource_botIN,oxygen,AVAILABLE,NA,['9849481680'],['Hyderabad'],"AVAILABLE - #Oxygen Refilling in #Hyderabad #CovidHelpHyderabad

Contact - Srinivas, 9849481680

Opposite Indo American Cancer Hospital, Banjara Hills

VERIFIED at 9:06 pm, May 2nd"
B_positiveee,oxygen,AVAILABLE,NA,['9866233555'],['Hyderabad'],"🚨🏥🏥🏥🚨
RK MULTISPECIALITY HOSPITAL, KOMPALLY
9866233555

3 oxygen beds available 
Verified at 18.36 5th may by me

#CovidHelp #hyderabadcovid #BedsAvailable #Hyderabad #COVIDEmergency2021 https://t.co/RuiZMFI6pF"
Sufia7,oxygen,AVAILABLE,NA,[],['Hyderabad'],"For real-time verified covid beds (Oxygen, ICU, Ventilator) availability in vizag, Guntur, Vijayawada &amp; Hyderabad visit https://t.co/aZ1zuAYFEx (they keep on updating)"
RjAvin,oxygen,AVAILABLE,NA,"['8125259991', '8497971166']",['Hyderabad'],"CovidInfo Hyderabad 

#OxygenBeds #OxygenCylinders 

verified 💯

5 oxygen bed available in lb nagar

Contact 8125259991
               8497971166

CovidSOS CovidHelp CovidIndia
COVID19India Covid19IndiaHelp
#Hyderabad
#CovidHelp #CovidIndia"
RjAvin,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"@kparveen2005 @Paul_Oommen 25 oxygen beds are available at Meher Hospital, Medchal #Hyderabad 

Contact:  8088917515
Verified

#COVID19 #CoronaSecondWave"
Prabhu_DS,oxygen,AVAILABLE,NA,['9347145678'],['Hyderabad'],"HAPPY CHILDRENS HOSPITAL, JEEDIMETLA, #Hyderabad
9347145678

4 ICU beds available and 4 oxygen beds available 
Verified on: 5th may 4:00pm
@rishoosingh 

#Telangana #ICUBeds #Beds #BedsAvailable #CovidHelp #CovidIndia #COVIDSecondWave  #CovidSOS #CovidHelpHyderabad"
Hyderabadbot,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Oxygen beds available in Hyderabad.
verified at 7.02pm 5/05
#Hyderabad
#Telangana
#OxygenBeds 
#covid19india
#covidindiainfo
#covidindia
#covidResources https://t.co/LbmfcmWBmp"
Hyderabadbot,oxygen,AVAILABLE,NA,[],['Hyderabad'],"@kparveen2005 @Paul_Oommen Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors"
RjAvin,oxygen,UNKNOWN,NA,"['9396589260', '7673929606', '7893932629', '8639042247']",['Hyderabad'],"@sunnysanketh78 @TelanganaCMO @TelanganaCS #HYDERABAD #Oxygen 
Baba Gas, Jalpally, Hyderabad - Received new stock. 

9396589260, 7673929606, 7893932629, 8639042247

Verified by Ebad at 13:44 PM, 28/04

#ICLUVERIFIES"
yohanmaduranga5,oxygen,AVAILABLE,NA,['9700238886'],['Hyderabad'],"Oxygen cylinders available Hyderabad Pramod 9700238886 near RTCxroads, Nampally.Number is very busy as he has lots of requests, so you may have to try a couple of times. Keep all patient details handy. Just verified by me personally [1:45 pm May 05] @HiHyderabad @charan_tweetz"
KAPILIANPoonamK,oxygen,AVAILABLE,NA,['9395350069'],['Hyderabad'],"Oxygen refilling available at Karimnagar, Hyderabad🧯

They don't have new cylinders. We need to take our own cylinder and can get the oxygen refill 🤗  

Contact Vinod Rao : 9395350069
Just verified by me. 

#Hyderabad #COVID19IndiaHelp"
sunilbeemanathi,oxygen,AVAILABLE,NA,['7337335050'],['Hyderabad'],"#Beds available at Greenland hospital in #Nalgonda 

4 ICU bed's &amp; more than 20 oxygen bed's

Contact-7337335050 verified at 6:30

#CovidHelp #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad #OxygenShortage
#CovidHelpHyderabad"
KAPILIANPoonamK,oxygen,AVAILABLE,NA,['9246598086'],['Hyderabad'],"#SOSHyderabad #SOSHyd #COVIDEmergency2021 

3 #OxygenBeds are available at Apoorva hospital ,Mehedipatnam #Hyderabad #ICUBed without ventilator support is also available. Contact: 9246598086 

Verified

@RRRMovie @SureshProdns @ynakg2 @CoreenaSuares2 @revathitweets"
ravishahruk,oxygen,AVAILABLE,NA,['8519993543'],['Hyderabad'],"Available - #Oxygen and #ICU Beds in #HYDERABAD. @SRKHydFans
 #SRKBLRCovidHelp
Contact 8519993543, Willness Hospital, Ameerpet. 
Verified at 9 AM, today. 
#Covid19IndiaHelp #COVIDEmergencyIndia
Vai: @RRRMovie"
sunilbeemanathi,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"#Oxygen beds are available at Mehar Hospitals, #Medchal

25 Oxygen beds were available.

Contact -  8088917515

Verified on  5th May 02:24
 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
sunilbeemanathi,oxygen,AVAILABLE,NA,['9959334148'],['Hyderabad'],"#Beds available at sri surya general hospital in miryalaguda

2 Oxygen bed's&amp;2general bed's

Contact-9959334148

Verified on 5th May
#covidhelp #OxygenEmergency
 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
rebealanees,oxygen,AVAILABLE,NA,['9700238886'],['Hyderabad'],"#OXYGEN AVAILABLE (Hyderabad)

Name: Pramod
Contact: 9700238886
They provide oxygen cylinders and have stock available.

Verified by Dheeraj and Hari
05/05/2021 at 13:31 PM

#covidresources #Oxygen #CovidHelp"
K9PoonamTrends,oxygen,AVAILABLE,NA,['8978709593'],['Hyderabad'],"PERSONALLY VERIFIED LEADS

10 Oxygen beds and isolation beds are available at #Satyam #Hospital, #Hyderabad.

Satyam Hospital, Hyderabad.
Contact: 8978709593

Verified at: 3:50 PM, 05.05.2021

Follow: @InstantHelpCo19 for getting more verified leads!"
Subhan64301873,oxygen,AVAILABLE,NA,['919849038188'],['Hyderabad'],"Oxygen Bed available in TRR Institute of Medical Sciences, Hyderabad. Verified 12am 2nd May. CT Scan report mandatory to be sent to+919849038188"
Subhan64301873,oxygen,AVAILABLE,NA,['9704936019'],['Hyderabad'],"5 oxygen beds available at panjagutta
15 isolation beds

Contact 9704936019

Verified: 7:20 pm 29th April
#SOSSIO #Hyderabad"
PrabhasRaj27,plasma,UNKNOWN,NA,[],['Hyderabad'],"Verified✅
Plasma Sources in Hyderabad.
#CovidHelp 
@RRRMovie @SureshProdns 
@GeethaArts @NTRFanTrends https://t.co/bZa4WwXlCO"
andhraabbay,oxygen,AVAILABLE,NA,['7672956391'],['Hyderabad'],"Nice hospitals Hyderabad..
Oxygen beds available 
Saturation above 90.
7672956391
Just verified 
Call immediately asap
@itskantri
@HiHyderabad  @JayaSr1kar"
uttpal_dutt,oxygen,NEED,NA,['9849295154'],['Hyderabad'],"Guys urgently needed... plssss help...
Name-sanjay Parekh
Requirement-oxygen concentrator
Spo2- 84
Hospital - navodaya hospital
Address- hyderabad
Phone number - 9849295154

Please provide verified sources as patient is critical.

@Sireeshanemana1 @KreatelyMedia 🙏 https://t.co/zNrEpnqMIH"
432nucleus,oxygen,AVAILABLE,NA,['9494902900'],['Hyderabad'],"Available 418 oxygen beds &amp; 12 ICU in TIMS, GACHIBOWLI FACILITY
9494902900
Gachibowli, Hyderabad
Verified: 10:01pm 03 May 2021
#Covid19Hyderabad
@MythriOfficial
@RRRMovie
@SVC_official"
andhraabbay,ICU Bed,AVAILABLE,NA,['9885471177'],['Hyderabad'],"@AnujGurwara @RjAvin @ActivistTeja @charan_tweetz @HiHyderabad 4 ICU bed available at Gaman health care, Gachibowli #Hyderabad 

Contact: 9885471177

Verified at 1:56 pm  5/5/21"
Hyderabadbot,ICU Bed,AVAILABLE,NA,['4023314095'],['Hyderabad'],"#COVID #verified  #Hyderabad #ICU Beds
Contact: 4023314095
Service Available: ICU Beds
City: Hyderabad
Niloufer hosp; 8 ICU beds
Verified on:4 May 03:30 pm

RT for reach"
andhraabbay,ICU Bed,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Icu beds available 
Aditya Hospital, 9177972837 
Verified again just now #Hyderabad"
andhraabbay,oxygen,AVAILABLE,NA,"['9182640071', '917893850658']",['Hyderabad'],"🚨#hyderabad🚨
Sri multi speciality 
Chaitanya puri
9182640071
Two icu beds available 
#Verified

Safe Hospital, Attapur 
+917893850658

Oxygen and ICU beds available

*Verified 4th May, 9.20*

#resource #hyderabad #oxygenbed
#COVIDEmergencyIndia #CovidHelp"
andhraabbay,ICU Bed,AVAILABLE,NA,['40 2331 4095'],['Hyderabad'],"Hospital Beds in #hyderabad.
#Verified
Gaman health care #Gachibowli -2 ICU Beds +91 98854 71177
8 ICU beds available in Niloufer hospital.
040 2331 4095
@HiHyderabad"
shhhhhhoja,oxygen,UNKNOWN,NA,['9391114386'],['Hyderabad'],"VERIFIED SOURCE

Message: Oxygen refill in Hyderabad
ph - 9391114386
Please do ensure due diligence
DO NOT PAY IN ADVANCED

Screenshot: https://t.co/edURoOdDka

Posted at: 01-05-21 05:34 PM

#Verified"
