username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
CVDResourcesBot,2021-05-06 14:00:09,ICU Bed,AVAILABLE,NA,['7032117892'],['Hyderabad'],"Verified May 6th @ 7:18pm TX hospitals Kachigudda,   ICU 5 beds available, normal beds 5 available. Contact Vinay Kumar 7032117892. Before going to hospital someone need to call him and book for reserve.  Could you please inform to others same. #Hyderabad #BedsAvailability #AVEF"
SK_Tweets_xl,2021-05-06 13:56:02,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified"
A_zubair9,2021-05-06 13:55:57,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"*Verified on 6/May/2021 9:50 AM*
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515."
RKJtweets,2021-05-06 13:52:36,ICU Bed,AVAILABLE,NA,['9885471177'],['Hyderabad'],"6th-May-2021

2 ICU Beds available at Gaman Hospital, Hyderabad 🏥

Patient’s Sp02 &gt; 85 for the admission 

Covid Report &amp; Aadhar card is must 👍🏻

NO VENTILATORS ❌

Contact : 9885471177 ☎

Verified at 12:25 PM 👍🏻

#CovidHelpHyderabad 
#Hyderabad 
#Covid19IndiaHelp"
srikanthlukky,2021-05-06 13:39:52,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"25 oxygen beds are available at Meher Hospital, Medchal #Hyderabad 

Contact:  8088917515
Verified

#COVID19 #CoronaSecondWave"
iThatMatter,2021-05-06 13:37:34,other,AVAILABLE,NA,['0402331409'],['Hyderabad'],"Non-covid hospital beds available in #Hyderabad
Niloufer hospitals
contact:04023314095 
verified 6/5 5:20pm

#covid19india
#covidindiainfo
#covidindia
#covidResources"
3e41481053bc4ef,2021-05-06 13:36:56,oxygen,AVAILABLE,NA,"['9848029833', '8374325678']",['Hyderabad'],"@3e41481053bc4ef @RRRMovie 9848029833 - Ashraya Hospital, Mallapur, Hyderabad, Oxygen beds available. Verified at 5.25 pm.

 8374325678 - Legend Hospital, Vanasthali Puram, Hyderabad. Oxygen beds available. Verified at 5.50 pm."
Hyderabadbot,2021-05-06 13:35:45,plasma,AVAILABLE,NA,['918981896569'],['Hyderabad'],"Verified at 6pm on 6-May-2021

#Hyderabad #plasma 
Below stock available with a known source
A+ 2 plasma packets
B+ 3 plasma packets
O+ 1 plasma packets

DM or call me at +918981896569"
iThatMatter,2021-05-06 13:34:56,oxygen,AVAILABLE,NA,"['9949466764', '9948542103']",['Hyderabad'],"#Hyderabad
ICU,Normal,Ventilator and Oxygen beds available at Orange Hospital, 
L.B Nagar,Hyderabad.

Contact:9949466764,9948542103

#Verified at 4PM,06/05/21."
Sainadh4AP,2021-05-06 13:12:22,oxygen,AVAILABLE,NA,"['8374325678', '21\n\n98480298']",['Hyderabad'],"HYDERABAD 

8374325678 - Legend Hospital, Vanasthali Puram, Hyderabad. Oxygen beds available. Verified at 5:50 pm. 6th May'21

9848029833 - Ashraya Hospital, Mallapur, Hyderabad, Oxygen beds available. Verified at 5:25 pm. 6th May'21
@HyderabadCovid @CovidHyderabad #hyderabadhelp"
Roshan_hot,2021-05-06 13:08:59,oxygen,AVAILABLE,NA,['7995947615'],['Hyderabad'],"#Hyderabad
#Beds #available #Oxygen beds and #general #bed available(only for patients above #oxygen 80 spo2 level)
Name of #hospital-Wellness Hospital,Hyderabad, #Telangana
Contact:7995947615
#Verified by Helping Hands at 11.27am on 06/05/2021"
KB2W2,2021-05-06 13:08:09,oxygen,AVAILABLE,NA,['7557009279'],['Hyderabad'],"#CovidVaccinea  available in #Hyderabad
#Oxygen #vaccinea beds available
#Food free, medical equipments free, medicine less costly available*
Free of cost treatment*

Sandeep Pandey
7557009279
#Call now
Verified leads
#CovidResources #CovidIndi"
RjAvin,2021-05-06 13:07:15,oxygen,AVAILABLE,NA,"['7032118594', '9700238886']",['Hyderabad'],"#Oxygen Cylinder

Location : #Hyderabad 
Contact : 
1. 7032118594 - Available Now
2. 9700238886 - Available after 2 PM

( Please call if Urgent to know the exact location)
Special thanks - @_sidnaazhearts_
@FanOfRitaAunty

#Verified
#HyderabadSOS #Covid"
sharelaugh,2021-05-06 13:06:57,oxygen,AVAILABLE,NA,['7989844615'],['Hyderabad'],"Oxygen bed at OMNI hospitals, Kukatpally, Telangana: 
#Oxygenbeds available for non critical patients only (spO2 above 90)
(No ICU/Ventilator)
contact:7989844615

Verified at 17:12, 06/05
#hyderabad 
#covid19india
#covidindiainfo
#covidindia
#covidResources"
ManojReddiee,2021-05-06 13:02:34,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Happy Children #Hospitals 
Chintal , #Hyderabad
5 ICU Beds
30 Oxygen Beds
Verified 2:32 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:34,oxygen,AVAILABLE,NA,['40 24202345'],['Hyderabad'],"Krishnaveni Multispeciality Hospital 
#OxygenBeds
Hayathnagar , #Hyderabad
Verified at : 2:38 pm 5th May by @Health9dotin 

040 24202345

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #covidhyderabad #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:33,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Mehar Hospital
25 #OxygenBeds
Medchal , #Hyderabad
Verified 2 :24 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:33,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Legend Hospitals
#OxygenBeds
#ICUBeds
Vanasthalipuram , #Hyderabad
Verified 2:41 Pm 5th May

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:32,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Wellness Hospital 
Ameerpet , #Hyderabad
4 #OxygenBeds
Patients with spo2 above 90 only.
Verified at : 2:53 pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,2021-05-06 13:02:32,oxygen,AVAILABLE,NA,[],['Hyderabad'],"VR Hospital
Bowenpally ,#Hyderabad
#OxygenBeds
Up to 5 Ltrs
Verified at 2:56 Pm 5 th May

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,2021-05-06 13:02:31,oxygen,AVAILABLE,NA,[],['Hyderabad'],"LEAF MULTISPECIALITY HOSPITAL
4 #OxygenBeds
BORBANDA
#Hyderabad(Sp02&gt;85)
Verified at 2:57 Pm 5 th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

 #covidhelp #OxygenBeds #covidhyderabad #health9 #COVIDEmergency #COVID19"
ManojReddiee,2021-05-06 13:02:06,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Leela Hospitals
3 #OxygenBeds #Hyderabad
Motinagar
Based on Saturation &amp; Reports
Verified 3:41 Pm 5th May by @Health9dotin 

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad
 #covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:05,oxygen,AVAILABLE,NA,['91 8978709593'],['Hyderabad'],"Satyam Hospitals
10 Oxygen Beds
#Attapur , #Hyderabad
Verified 3:41 Pm 5th May by @Health9dotin 

+91 8978709593

For More Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad

#covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #COVIDEmergency2021"
ManojReddiee,2021-05-06 13:02:05,oxygen,AVAILABLE,NA,['917207443450'],['Hyderabad'],"Indus #Hospitals​
Chaintayapuri , #Hyderabad 
#Oxygenbeds Available
(Saturation above 85)
Verified 4:53 Pm 5th May by @Health9dotin 

+917207443450

For Beds Availability

https://t.co/2YzRweDewD

@HiHyderabad

#covidhelp #OxygenBeds  #covidhyderabad #COVIDEmergency #COVID19"
ManojReddiee,2021-05-06 13:02:05,oxygen,AVAILABLE,NA,['91 8519993543'],['Hyderabad'],"Amma #Hospitals
#OxygenBeds
Dilsukhnagar , #Hyderabad
Based on Saturation Levels
Verified at 4:57 pm 5th May by @Health9dotin 

+91 8519993543

For Beds Availability

https://t.co/2YzRweUPob

@HiHyderabad #covidhelp #covidhyderabad #health9 #COVIDEmergency #COVID19 #CovidIndia"
HelpersCovid,2021-05-06 13:01:42,other,AVAILABLE,NA,['9908899834'],['Hyderabad'],"*Verified* For hospital beds availability at Apollo, Jubilee Hills, #Hyderabad Contact: Santosh - 9908899834 #HyderabadSOS #hyderabadcovid #hyderabadfightscovid"
network_covid,2021-05-06 12:57:20,oxygen,AVAILABLE,NA,['9703583534'],['Hyderabad'],"1 ventillator, 1 BiPAP, CPAP beds, ICU, Oxygen beds available in #Hyderabad 
Aayush multispeciality hospitals
contact: 9703583534
Verified at 17:25, 06/05

#covid19india
#covidindiainfo
#covidindia
#covidResources"
Gauravyadav3275,2021-05-06 12:49:44,oxygen,AVAILABLE,NA,['9490667172'],['Hyderabad'],"Ventilator and oxygen beds available at Ameerpet, Hyderabad.
contact: 9490667172  
Verified 6/5 4:55pm
#Hyderabad
#Beds 
#Oxygenbeds
#covid19india
#covidindiainfo
#covidindia
#covidResources"
iThatMatter,2021-05-06 12:48:05,oxygen,AVAILABLE,NA,['0703669633'],['Hyderabad'],"Normal #beds available with a provision for oxygen support for 1 or 2 hours, in #Hyderabad
Avasa hospital, Manikonda.
contact : 07036696332 
verified 6/5 5:25pm
#covid19india
#covidindiainfo
#covidindia
#covidResources"
KalipatnamS,2021-05-06 12:47:47,oxygen,AVAILABLE,NA,['8519993543'],['Hyderabad'],"Available - #Oxygen and #ICU Beds in #HYDERABAD.

Contact 8519993543, Willness Hospital, Ameerpet. 

Verified at 9 AM, today. 

#Covid19IndiaHelp #COVIDEmergencyIndia"
sidnaazian_a,2021-05-06 12:42:49,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"#COVIDEmergencyIndia 
#COVIDEmergency 
#CovidHelp 

Contact no -9177972837 
OXYGEN BEDS AVAILABLE IN HYDERABAD 

Again Verified at 1:55pm 6th may 
 
#Hyderabad
#Covid19IndiaHelp 
 https://t.co/ip4NWPWdWB"
LJallipalli,2021-05-06 12:39:21,plasma,NEED,['O +'],['9848860838'],['Hyderabad'],"Emergency 🆘
Date: 06-05-2021
Need : Plasma
Patient Name:  Y bramaiah
Age: 51
Blood Group:  O +ve
No of units: 1
Purpose: COVID
Hospital: kakathiya hospital, Medipally, Hyderabad.
Contact Details: 9848860838
Verified By: Abhishek NS
@SOSIYCKNR @MothaRohit"
SlayingUrHearts,2021-05-06 12:36:15,oxygen,AVAILABLE,NA,['8497971166'],['Hyderabad'],"Oxygen beds available in Hyderabad.
contact : Raksha multispeciality hospital 
phone : 8497971166 
Verified 5/06 5:00pm
#hyderabadcovid 
#hyderabad 
#oxygenbeds
#covid19india
#covidindiainfo
#covidindia
#covidResources"
afreakinpumpkin,2021-05-06 12:30:10,oxygen,AVAILABLE,NA,['9553320906'],['Hyderabad'],"HYDERABAD
Oxygen beds available 
Prathima Hospital 
Kachiguda, Kukkatpally 
9553320906 
verified by Covid social volunteers group by @leftitcita"
Saikumarprinc,2021-05-06 12:24:05,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Available - #OxygenBeds in #Hyderabad. 

6 Beds available in Kachiguda. 

Verified at 4:10 PM, today. 

#COVIDEmergencyIndia #Covid19IndiaHelp"
JyothiK46366741,2021-05-06 12:22:15,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"*Verified on 6/May/2021 9:50 AM*
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. Could you please inform to others. Thank you"
Prathyou,2021-05-06 12:21:56,oxygen,AVAILABLE,NA,['9490667172'],['Hyderabad'],"#Hyderabad
Ventilator and #Oxygenbeds available at Ameerpet,Hyderabad.

Contact:9490667172

#Verified at 4:55PM,06/05/21."
nivisha_my_god,2021-05-06 12:18:30,other,AVAILABLE,NA,['8978709593'],['Hyderabad'],"Satyam hospital, Attapur Hyderabad. 5 Oxgyen beds available and 5 Isolation beds available. 8978709593 *Verified yesterday. 🙏
#COVIDEmergencyIndia"
rg_pavan,2021-05-06 12:16:09,oxygen,AVAILABLE,NA,"['9160019364', '8519993543']",['Hyderabad'],"@nanoharsha @Raghvarma @charan_tweetz @DonitaJose @CoreenaSuares2 @anusha_puppala @digitaldutta Citi Neuro Centre, Hyderabad 
 
9160019364

73 Beds available 
ICU - 8/Ventilator, 5 /non-ventilator 
oxygen - 30 beds 
normal - 30 beds 

Wellness Hospital, Ameerpet
phone number : 8519993543

4 beds available 

Verified 
May 6
Time 12.45pm
#BedsAvailability"
Hyderabadbot,2021-05-06 12:15:44,oxygen,AVAILABLE,NA,['9951493415'],['Hyderabad'],"#Hyderabad
#Beds #available-15 oxygen beds #general #bed also available
Name of #hospital-Udai Omini Hospital, #Hyderabad, #Telangana
Contact:9951493415
#Verified by Helping Hands at 11.25am on 06/05/2021"
unusualescapes,2021-05-06 12:14:30,oxygen,AVAILABLE,NA,"['9160019364', '8519993543']",['Hyderabad'],"Citi Neuro Centre, Hyderabad 
 
9160019364

73 Beds available 
ICU - 8/Ventilator, 5 /non-ventilator 
oxygen - 30 beds 
normal - 30 beds 

Wellness Hospital, Ameerpet
phone number : 8519993543

4 beds available 

Verified 
May 6
Time 12.45pm
#BedsAvailability"
unusualescapes,2021-05-06 12:13:57,plasma,AVAILABLE,NA,[],['Hyderabad'],Just #Verified #plasma availability in #Hyderabad https://t.co/DR1GWyFSGL
ravi_486,2021-05-06 12:12:40,oxygen,AVAILABLE,NA,[],['Hyderabad'],"25 Oxygen bed available at Meher hospitals #Hyderabad 

Verified at 9:50am May 6 https://t.co/zwB0zJ54eJ"
unusualescapes,2021-05-06 12:12:12,plasma,NEED,NA,['9908042312'],['Hyderabad'],"@SOSIYCKNR @Siddu81531427 @anurag_dasarapu @vamsikaka
 Date: 06-05-2021
Need : Plasma
Patient Name: Nagaratnamma
Age: 55
Blood Group: O+ve
No.of units: 1
Purpose: Covid
Hospital: Udbhava hospital, Miyapur, Hyderabad 
Contact Details: 9908042312 (Naresh)
Verified By: Sathya"
MANOJBH06378576,2021-05-06 12:05:53,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Satyam Hospital, Attapur #Hyderabad

10 oxygen beds available
5 isolation beds available

+91 89787 09593 

Verified  4.17pm now
CORONA Warriors"
vks_24,2021-05-06 11:56:03,oxygen,UNKNOWN,NA,['917979963368'],"['Hyderabad', 'Bangalore', 'Mumbai', 'Delhi']","For oxygen concentrator across India, contact +917979963368
verified by @AayushS46288526 
Not personally sure of the prices. I can only provide leads to you prices you have to discuss with vendors. Pls whatsapp / call them and check.
#delhi #hyderabad #bangalore #mumbai #lucknow https://t.co/eGrDm6zWgJ"
Sainadh4AP,2021-05-06 11:53:30,oxygen,AVAILABLE,NA,['8088917515'],['Hyderabad'],"@HyderabadCovid 
25 oxygen beds available at Meher Hospitals, Hyderabad 
Contact: 8088917515. 
Verified on 6/May/2021 9:50 AM"
Hungrykartindia,2021-05-06 11:49:50,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Oxygen bed and Icu bed available at Prada hospital Nacharam #Hyderabad 

Verified 10:23am May 6

 #hyderabad #hyderabadcovidhelp #HyderabadSOS https://t.co/XqlZO1qwAs"
Naveennanijsp,2021-05-06 11:48:19,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"Contact no - 9177972837 
8 OXYGEN BEDS AVAILABLE IN HYDERABAD 

 Verified  ⚡
 
#Hyderabad https://t.co/dRgmaRzVto"
Hyderabadbot,2021-05-06 11:30:43,plasma,NEED,NA,[],['Hyderabad'],"For #Plasma Requirements in #Hyderabad, try here 👇🏻 

VERIFIED CONTACT... https://t.co/xhvJmKRhNd"
CVDResourcesBot,2021-05-06 11:28:14,oxygen,AVAILABLE,NA,['9177972837'],['Hyderabad'],"#oxygenbeds #hyderabad 
contact no -9177972837 
OXYGEN BEDS AVAILABLE 
#verified at 1:55pm 6th may"
raviteja_31,2021-05-06 11:27:21,other,NEED,NA,[],['Hyderabad'],"Friend is in critical condition, needs to be hospitalisation. Any verified hospitals having beds in Hyderabad/Nizampet? Plz RT @dravsreddy @YaminiDiva @Mahi0x00 @telugulessaa Thanks 🙏"
TeluguJanya,2021-05-06 11:13:48,oxygen,AVAILABLE,NA,[],['Hyderabad'],"Available - #OxygenBeds in #Hyderabad. 

6 Beds available in Kachiguda. 

Verified at 4:10 PM, today. 

#COVIDEmergencyIndia #Covid19IndiaHelp https://t.co/e8VUcHPLdj"
Brontobyte_,2021-05-06 11:07:20,plasma,UNKNOWN,NA,['918981896569'],['Hyderabad'],"Verified at 4:15pm pm on 06-May-2021

Got a B- #plasma #donor in #Hyderabad

DM or call me at +918981896569"
CVDResourcesBot,2021-05-06 11:03:27,oxygen,AVAILABLE,NA,['9440612031'],['Hyderabad'],"@sherinford1 @Chinmayi @SonuSood @SoodFoundation Oxygen beds are available at Neo Care Hospitals, DwarakaNagar 2 ICU &amp; 2 Oxygen beds were available. Contact - 9440612031 Verified on 6th 11:57 Hyderabad

#CovidHelpHyderabad
#Hyderabad #COVID19India #CovidIndia #BedsAvailability #coronavirus"
CVDResourcesBot,2021-05-06 11:03:18,oxygen,AVAILABLE,NA,['917032118594'],['Hyderabad'],"@Vineeth_tweetz @RRRMovie @ynakg2 Verified ✅

Oxygen Cylinders available at ECIL Hyderabad
+917032118594

3.25 pm May 6"
Saicharan219,2021-05-06 10:42:46,oxygen,AVAILABLE,NA,[],['Hyderabad'],"#Oxygen #Beds available in #Hyderabad, verified personally at 3:51 pm. Dm for further contact information."
KRITWIKREDDY1,2021-05-06 10:34:52,oxygen,AVAILABLE,NA,[],['Hyderabad'],"3 #Oxygenbeds and 2 #ICUBeds (without ventilator) are available at RR hospital. 

Location: Kompally, #Hyderabad 

Considering saturation before admission. 

Verified at 11:25 AM, 4th May. 

#CovidHelp #SOSHyderabad 
@RRRMovie @GeethaArts @SVC_official"
KRITWIKREDDY1,2021-05-06 10:34:44,oxygen,AVAILABLE,NA,['9700238886'],['Hyderabad'],"Hyderabad People, Oxygen Cylinders Available 🙏🏻

Contact Pramod : 9700238886 ☎

He got new stock of oxygen cylinders at RTC X Roads, Hyderabad 

Verified personally at 03:40 PM ✔

#Covid19IndiaHelp 
#COVID19India 
#Hyderabad 
#Covid19"
KRITWIKREDDY1,2021-05-06 10:34:34,ICU Bed,AVAILABLE,NA,['40 2306 8066'],['Hyderabad'],"One #ICUBed without ventilator support is available at Sumana hospitals, #Hyderabad 

Contact: 040 2306 8066

Verified at 4:27 PM. 

#HyderabadSOS #Hyderabad #CovidHelpHyderabad 
@RRRMovie @SVC_official @GeethaArts"
KRITWIKREDDY1,2021-05-06 10:34:18,oxygen,AVAILABLE,NA,['8096953645'],['Hyderabad'],"#Oxygen beds are available at LIFELINE MEDICURE HOSPITAL - #Alwal

1 Oxygen bed were available.

Contact -  8096953645

Verified on Tuesday 4th  2:38 P.M.

 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
KRITWIKREDDY1,2021-05-06 10:34:11,oxygen,AVAILABLE,NA,['7013160090'],['Hyderabad'],"#Oxygen beds are available at  LEAF MULTISPECIALITY HOSPITAL #BORBANDA

 3 Oxygen beds were available.

Contact -  7013160090

Verified on Tuesday 4th  02:09

 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
KRITWIKREDDY1,2021-05-06 10:33:08,oxygen,AVAILABLE,NA,['9100134141'],['Hyderabad'],"#Oxygen beds are available at Dharani Multi Speciality Hospital #Mehdipanam

15 Regular &amp; 2 Oxygen beds were available.

Contact -  9100134141

Verified on Tuesday 4th  10:30

 #Hyderabad @HiHyderabad
@charan_tweetz @Purusho50189904 @vasuch1973 
@HiHyderabad 
#CovidHelpHyderabad"
