username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
GaikwadAnkur,2021-05-06 14:51:03,oxygen,AVAILABLE,NA,"['9810807576', '9211333999']","['Bangalore', 'Delhi']","@alashshukla @srinivasiyc @appurv_gupta @AnupamkPandey @ManMundra @shalabhmani @tehseenp @attorneybharti @DeepikaBhardwaj @sandhyafernez @DarshanNPopat @sakshijoshii @isatyendra @DineshKumarLive @KaptanHindostan @kmarkri @AnupamConnects @yuvahallabol @AShukkla @RubikaLiyaquat @yogitabhayana ✅ Verified
#Bangalore #OxygenCylinders
Home ICU, Ventilator, Oxygen available in #delhi #meerut #noida #ghaziabad  #uttarpradesh  #gurgaon 
Verified at 10:35 am on 3/5/21Vinayak Oxygen  - 9810807576O2 Delhi- 9211333999Ai...
👉 https://t.co/IWmC9Q34oI"
bhuklagli,2021-05-06 14:51:01,oxygen,AVAILABLE,NA,['9066669967'],['Bangalore'],"Bangalore verified
At 6:40pm 06/05/21

Oxygen concentrators Available
5l @ 61000

Regulators (includes bipap)@ 15600

Immediate delivery.

Manjunath - 9066669967

Disclaimer: point of contact verified. please do your due diligence before purchasing"
network_covid,2021-05-06 14:49:50,ICU Bed,AVAILABLE,NA,"['8197507094', '9148221142']",['Bangalore'],"General #beds(not ICU beds) available in #Bangalore.
Saptagiri super speciality hospital, Chikkasandra
contact : 8197507094 ,9148221142
Verified @ 20:07  06/05

#Bengaluru 
#covid19india
#covidindiainfo
#covidindia
#covidResources"
ramIND_WRITES3,2021-05-06 14:49:05,oxygen,UNKNOWN,NA,['919923823466'],['Bangalore'],"5LPM Oxygen Concentrator is on sale for INR 78450 + INR 2775 (delivery charge for anywhere in India). 

The machines will be shipped from Bangalore post 10th May, 2021.

For further information please drop a WhatsApp message on +919923823466.

#verified #COVID19India"
ashishaggarwalh,2021-05-06 14:48:20,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bangalore #Beds
Isolation Center at Ramamurthy Nagar (near Indian Oil petrol bunk), Bangalore 
Contact no. 9036635000

Available:
8 normal beds (similar to home quarantine facility)
No other beds and life saving equipment. 
Verified by Niranjan at 7:40 PM on 06.05.21"
man_like_mo,2021-05-06 14:46:23,oxygen,UNKNOWN,NA,[],"['Bangalore', 'Delhi']","‼️ hospital bed updates ‼️

oxygen beds - uttar pradesh 
oxygen beds - delhi 
normal beds - bangalore 

#HospitalBeds #OxygenBeds #NormalBeds #Delhi #Bangalore #UttarPradesh #Verified https://t.co/CTwDNFCoTD"
PeerViTuu,2021-05-06 14:45:24,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"‼️ BANGALORE BEDS ‼️
Isolation Center at Ramamurthy Nagar (near Indian Oil petrol bunk), Bangalore 
Contact no. 9036635000

Available:
8 normal beds (similar to home quarantine facility)
No other beds and life saving equipment. 
Verified by Niranjan at 7:40 PM on 06.05.21"
iThatMatter,2021-05-06 14:45:22,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bangalore #Beds
Isolation Center at Ramamurthy Nagar (near Indian Oil petrol bunk), Bangalore 
Contact no. 9036635000

Available:
8 normal beds (similar to home quarantine facility)
No other beds and life saving equipment.
#Verified"
truly_jayanth,2021-05-06 14:39:40,other,AVAILABLE,NA,['9738386480'],['Bangalore'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
BANGALORE
Normal Beds Available

Name: Rashad
Phone: 9738386480
Location : Columbia Asia COVID Centre, Whitefield

Last verified @ 06/05/21, 3:35 PM"
SankethYS,2021-05-06 14:33:26,ICU Bed,NEED,NA,"['9742289316', '2952511605']",['Bangalore'],"🚨 ICU bed required in Bangalore 

SPO2 Level: 60

Attender's Mobile Number: 9742289316
SRF ID: 2952511605080
BU Number: 747508  

Please reply with verified leads only."
VineetT15164553,2021-05-06 14:30:51,oxygen,UNKNOWN,NA,[],['Bangalore'],"Verified just now
+91 81233 14373
Oxygen concentrators in Bangalore. 
95k 8th May delivery
75k tomo delivery after 5pm
#COVID19 #COVIDEmergencyIndia #covid19india #bangalore #oxygen 
@covidres_in"
NayazAlamKhan1,2021-05-06 14:30:40,oxygen,UNKNOWN,NA,['8951755722'],['Bangalore'],"MS Ramaiah in #Bangalore has got stock of #Remdesivir . Verified news as of 7:57 AM 

#Bengaluru #Karnataka #COVIDEmergency2021

Covid war room helpline 8951755722

Oxygen remdesivir supplies across Karnataka/bangalore
#verified

Other verified resources in images

Rt for amplify https://t.co/EaIy0HRxND"
s_waraich,2021-05-06 14:29:48,oxygen,AVAILABLE,NA,['9632830498'],['Bangalore'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
BANGALORE
Oxygen Refilling (no cylinder) Available

Name: Ashok
Phone: 9632830498
Location: Benaka gas

Last verified @ 06/05/21, 2:50 PM

#BangaloreSOS #OxygenRefilling #Bangalore"
shazansari21,2021-05-06 14:28:51,ICU Bed,NEED,NA,[],['Bangalore'],"BANGALORE ICU BEDS VERIFIED FRESH LEADS PLEASE?? 

The patient's condition is critical and she needs an ICU. They're not ready to keep her in the facility that lacks an ICU for now. 

Please please I beg you. If you have any fresh info dm/comment. 

RT&amp; Amplify. 
#Bangalore https://t.co/PXJYmcCI55"
AamBhartiya30,2021-05-06 14:27:46,oxygen,AVAILABLE,NA,['919513113766'],['Bangalore'],"✅VERIFIED
6/5/21 2:26PM

Oxygen Cylinders Available
47 ltr @42600 (Home delivery)
Per 1 patient 1 Cylinder
No delivery to hospital

+919513113766

[We have verified point of contact. Please check details carefully with seller before buying]
#Bangalore #Oxygen #Verified"
findthecolors,2021-05-06 14:27:00,oxygen,AVAILABLE,NA,[],['Bangalore'],"@mosin9740 Look at other people tweeting about availability of oxygen in Bangalore:

- https://t.co/hr4XkV5sCY 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/A7u78CpEaQ"
Covid19Help10,2021-05-06 14:26:12,oxygen,UNKNOWN,NA,"['9986966909', '6304495317']","['Bangalore', 'Mumbai', 'Delhi', 'Nagpur', 'Chennai']","VERIFIED #Oxygen LEAD
#Bangalore #Delhi #DelhiNCR
#Chennai #Mumbai #Jaipur #Chandigarh #Pune #Nagpur
#Ajmer #Lucknow #Jodhpur #Mysore #Vijayvada #Vizag
Other cities delievery within 30 hrs.
9986966909, 6304495317 (Ashish)
@HelplinePunjab @Prateek_Rishi @mohitgupta1962"
VineetT15164553,2021-05-06 14:25:50,oxygen,AVAILABLE,NA,['919513113766'],['Bangalore'],"*Bangalore* *verified*
At 2:26pm 06/05/21

*Oxygen* *Cylinders* *Available*
47 ltr @ 42600 (Home delivery)
Per 1 patient 1 Cylinder

No delivery to hospital

+919513113766

Disclaimer: point of contact verified. please do your due diligence before purchasing"
CVDResourcesBot,2021-05-06 14:20:10,oxygen,AVAILABLE,NA,[],['Bangalore'],"ShopG Verified Oxygen, Remdesivir in Bangalore, Available.
Check here - 
https://t.co/ju9zqUF4BG
Verified 10mins ago

#CovidHelp #COVIDEmergency #COVID19 #ShopGCovidHelp #ShopG"
Praveen_jsp2,2021-05-06 14:13:27,oxygen,AVAILABLE,NA,['919513113766'],['Bangalore'],"✅VERIFIED
6/5/21 2:26PM

Oxygen Cylinders Available
47 ltr @42600 (Home delivery)
Per 1 patient 1 Cylinder
No delivery to hospital

+919513113766

[We have verified point of contact. Please check details carefully with seller before buying]
#Bangalore"
varunnwadhwani,2021-05-06 14:05:35,ICU Bed,NEED,NA,[],['Bangalore'],"O2 has fallen below 60 and we need an ICU BED IMMEDIATELY. any contacts, please?

Share verified leads, lists are not working. #bangalore #CovidHelpOnline #COVID19 #help https://t.co/5YCVcm8pv8"
findthecolors,2021-05-06 14:05:33,oxygen,AVAILABLE,NA,[],['Bangalore'],"@CThammanna People might be posting here about availability of bed, oxygen in Bangalore:

- https://t.co/6dek85UCIN 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/QHqrhAibpX"
tabaahhogaye,2021-05-06 14:01:55,oxygen,UNKNOWN,NA,[],['Bangalore'],"BANGALORE OXYGEN BEDS ANY VERIFIED LEAD PLEASE? 

Besides the zonal Helpline? 

Please RT &amp; Amplify"
ramyaroopa3,2021-05-06 14:01:07,oxygen,NEED,NA,[],['Bangalore'],"BANGALORE     VERIFIED

Any one affected from covid-19 needs
*Bed*
*ICU Bed*
*Oxygen Cylinders*
*Oxygen Concentrate*
can contact/inform here. They will help you. 🙏

R.C.Kantharaj 
*+91 98860 67078*
*+91 93416 67078*"
CVDResourcesBot,2021-05-06 13:58:33,other,AVAILABLE,NA,['9738386480'],['Bangalore'],"BANGALORE
Normal Beds Available

Name: Rashad
Phone: 9738386480
Location : Columbia Asia COVID Centre, Whitefield

Last verified @ 06/05/21, 3:35 PM"
13Reshma,2021-05-06 13:51:52,oxygen,UNKNOWN,NA,['8951755722'],['Bangalore'],"Bangalore

Remdesivir and Oxygen supply (only 4 hospitals)

Call 8951755722 (Govt call centre)

Verified at 11.20am 6th May

Verified4India COVID19
#Bangalore"
aswathy2593,2021-05-06 13:46:36,plasma,AVAILABLE,['AB+'],['9886763931'],['Bangalore'],"Swami Vivekananda Blood Bank has B+ and AB+ plasma available. You can reach out to them at 9886763931.

Verified at 7:10pm.

#Bangalore #PlasmaRequirement #bangalorecovid"
kirtishetti,2021-05-06 13:45:26,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"🙏🙏 Looking for Home ICU/Ventilator rental suppliers in Bangalore

Many patients are looking, all old suppliers have no stock. Help us help if you have any verified leads with *stock availability as of today morning*

DM @peakbengaluru or @Nivivacious"
findthecolors,2021-05-06 13:43:26,other,AVAILABLE,NA,[],['Bangalore'],"@sreeram94 You can check here if people are posting about availability of bed, ventilator in Bangalore:

- https://t.co/MIFUlZ2yQR 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/RlpHt4liiA"
findthecolors,2021-05-06 13:40:46,oxygen,AVAILABLE,NA,[],['Bangalore'],"@SaiKris75286313 You can check here if people are posting about availability of bed, oxygen in Bangalore:

- https://t.co/6dek85UCIN 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/ohRqn2aUoD"
adityaram88,2021-05-06 13:39:33,other,UNKNOWN,NA,['0804151414'],['Bangalore'],"*Bangalore verified*
At 10:09am 5th May

Covid testing, RTPCR
Results in 24 hours

HealthTree Clinic
08041514141"
findthecolors,2021-05-06 13:38:43,oxygen,AVAILABLE,NA,[],['Bangalore'],"@SaiKris75286313 Some good people are posting about availability of bed, oxygen in Bangalore:

- https://t.co/6dek85UCIN 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/IunnT7GDnZ"
TdnArjun,2021-05-06 13:38:14,oxygen,AVAILABLE,NA,['7292009116'],['Bangalore'],"#Bangalore #covidBangalore #karnataka

verified @ 5:57

KVN Foundation, Bangalore 
Free oxygen concentrator service 
To avail register on their website,
service available only at their centre no delivery service, only for bangalore residents

contact - 7292009116
dodue diligence https://t.co/lClcueMJqQ"
AarushiMittal94,2021-05-06 13:38:13,other,AVAILABLE,NA,['919036635000'],['Bangalore'],"#BedsAvailability in #Bangalore #Bengaluru 

Normal Beds Only

Isolation Centre
Ramamurthy Nagar, near Indian Oil Petrol Bunk

+919036635000

#Verified at 5:56pm on 6 May

#CovidResource"
iThatMatter,2021-05-06 13:36:10,other,AVAILABLE,NA,['9738386480'],['Bangalore'],"RT RT @COVResourcesIn: ✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
BANGALORE
Normal Beds Available

Name: Rashad
Phone: 9738386480
Location : Columbia Asia COVID Centre, Whitefield

Last verified @ 06/05/21, 3:35 PM

#Covid19IndiaHelp #KarnatakaFightsCorona"
iThatMatter,2021-05-06 13:34:44,other,AVAILABLE,NA,['9036635000'],['Bangalore'],"#Bangalore
Normal beds available at Isolation Center,Ramamurthy Nagar near Indian Oil Petrol Bunk,Bangalore.

Contact:9036635000

#Verified at 5:45PM,06/05/21."
iAekansh,2021-05-06 13:33:48,oxygen,AVAILABLE,NA,['919443438394'],['Bangalore'],"@AaminaA16 ✅ Verified 06 May 21, 5 pm

#CovidResources #bangalore 5 lts #oxygen #concentrator available less than 5 piece.
Call +919443438394 and take my name Aekansh as reference. He'll give.
#bangalorecovid #CovidHelp"
findthecolors,2021-05-06 13:30:03,oxygen,AVAILABLE,NA,[],['Bangalore'],"@SaiKris75286313 You can check here if people are posting about availability of bed, oxygen in Bangalore:

- https://t.co/6dek85D1Rf 
- Contact the respective BBMP helpline - https://t.co/YTTFTk8YfX

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/tGn3RJz4pr"
bhargavicn2,2021-05-06 13:26:15,oxygen,UNKNOWN,NA,[],['Bangalore'],"*Bangalore verified*
At 12:50 pm, 06/05/21

Oxygen refill
+91 99728 52127
Refill takes 1 day
Price: Rs. 3000 - 4000
Location: Bommanahalli

Disclaimer: point of contact verified. please do your due diligence before purchasing"
HarshaShettigar,2021-05-06 13:24:44,oxygen,NEED,NA,[],['Bangalore'],"*Bangalore verified*
At 3:55 pm, 05/05/21

Oxygen 
+91 81238 90892
Time: 9 am to 6 pm
Location: 
Next to Campbell Hospital
Sector 6, HSR Layout 

Patient needs to come to the location with prescription. They can sit and take oxygen, free of cost."
HarshaShettigar,2021-05-06 13:24:30,oxygen,AVAILABLE,NA,[],['Bangalore'],"Bangalore verified
2:58pm 06/05/21

Oxygen Concentrators available

5-7 ltrs 70k
10 ltrs 95k

Only 3 to 4 pieces available 
Delivery will be on same day

whatsapp ONLY

+91 96639 21991

Disclaimer: point of contact verified. please do your due diligence before purchasing"
findthecolors,2021-05-06 13:22:56,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@VishalTheTrave1 Look at other people tweeting about availability of icu, bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/o83Q9xx6pw"
resource_botIN,2021-05-06 13:20:49,oxygen,AVAILABLE,NA,['919443438394'],['Bangalore'],"✅ Verified 06 May 21, 5 pm

#CovidResources #bangalore 5 lts #oxygen #concentrator available less than 5 piece.
Call +919443438394 and take my name Aekansh as reference. He'll give.
#bangalorecovid #CovidHelp"
findthecolors,2021-05-06 13:18:39,other,AVAILABLE,NA,[],['Bangalore'],"@iRamanR You can check here if people are posting about availability of bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/KJuZpilvwp"
findthecolors,2021-05-06 13:17:50,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@ssbhog Please look here for people posting about availability of icu, bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/KLK4CzgFxB"
findthecolors,2021-05-06 13:11:29,other,AVAILABLE,NA,[],['Bangalore'],"@LPanchaxari You can check here if people are posting about availability of ventilator in Bangalore:

- https://t.co/FkBLF9Rzdf 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/3aFO4xDfUu"
Rana52762809,2021-05-06 13:09:48,oxygen,AVAILABLE,NA,[],['Bangalore'],Need help for my mother. Kindly help for  oxygen bed availability in Bangalore. We have tried calling around 30+ Hospitals. Need Hospital bed. ONLY VERIFIED CONTACTS PLEASE HELP
shajeshmenon,2021-05-06 13:05:36,oxygen,NEED,NA,[],['Bangalore'],Need a 8L Oxygen Concentrator urgently for a friend in Bangalore. Please help with verified leads and contacts. #CovidHelp #covidsos #covidbangalore
findthecolors,2021-05-06 13:03:17,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@nehaspoony There are people who are making calls and checking for availability of icu, bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/r99zWf6Hwi"
Covid19Help10,2021-05-06 12:56:06,oxygen,AVAILABLE,NA,['9611208963'],['Bangalore'],"OXYGEN LEAD AVAILABLE NOW IN BANGALORE. Call us 
9611208963
#Oxygen #Bangalore #Verified"
VRebelly,2021-05-06 12:45:24,oxygen,AVAILABLE,NA,['9611208963'],['Bangalore'],OXYGEN CYLINDER AVAILABLE PLEASE CALL 9611208963 IN BANGALORE *VERIFIED*
chaitu_Insideme,2021-05-06 12:45:03,oxygen,AVAILABLE,NA,[],['Bangalore'],"✨✨ Oxygen Cylinders Available in Bangalore 

Info from supplier - 47L @ 42600Rs, home delivery available 👇

(verified by @AaminaA16 &amp; team at 226PM 6May, volunteer disclaimers apply) https://t.co/YoeGYufIQW"
Seeka39003215,2021-05-06 12:32:07,other,AVAILABLE,NA,['8066883939'],['Bangalore'],"Verified at 5:05 pm on 4/5/21
RTPCR, Bloodtest Available in Bangalore Karnataka 

Rv Metropolis Labs, Malleshwaram, Bangalore
• Contact : 8066883939
• Location : Malleshwaram, Bangalore
• Service provided :- Covid test, even home visit service is available for swab collection."
vj_jnan,2021-05-06 12:31:17,oxygen,AVAILABLE,NA,[],['Bangalore'],"✨✨ Oxygen Cylinder REFILL Available in Bangalore 

Info from supplier - 1400Rs for 47L cylinder refill, location Mysore Road 

(verified by @doeschate at 2pm 6May, volunteer disclaimers apply) https://t.co/GGUuqAFq7q"
RSP4223,2021-05-06 12:29:47,oxygen,NEED,NA,['9035913303'],['Bangalore'],"*Verified:*
Need A+ Blood Plasma for my friend's mother in Bangalore. Could you please help with some leads please?
Contact: 9035913303 
This is for my friends mother. Please help. @nikhiljoisr @oxygenblr @CovidPlasmaIn @doddaganesha @WasimJaffer14 https://t.co/HjYT5uHCkn"
SJSwaminathan,2021-05-06 12:29:01,ICU Bed,NEED,NA,[],['Bangalore'],#Urgent ICU bed required for a 33 year old cousin of my colleague whose condition has worsened in the last two days since they couldn’t find any hospital bed in #Bangalore. Please share verified leads. #CovidHelp #CovidCareBangalore #SOS @Nivivacious @peakbengaluru
findthecolors,2021-05-06 12:24:36,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@PRIYANKARUDRAP3 Some good people are posting about availability of icu, bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/i7Q1BpNfl8"
Shivaniireddyk,2021-05-06 12:23:44,oxygen,AVAILABLE,NA,['7557009279'],['Bangalore'],"#CovidVaccinea  available in #Bangalore
#Oxygen #vaccinea beds available
#Food free, medical equipments free, medicine less costly available*
Free of cost treatment*

Sandeep Pandey
7557009279
#Call now
Verified leads
#CovidResources #CovidIndi"
aggrajat1997,2021-05-06 12:11:27,oxygen,UNKNOWN,NA,['8951755722'],['Bangalore'],"#Bangalore
#Remdesivir and #Oxygen supply (only 4 #hospitals)
Call 8951755722 (Govt call centre)
#Verified by Helping Hands at 11.30am 6th May"
findthecolors,2021-05-06 12:08:51,oxygen,AVAILABLE,NA,[],['Bangalore'],"@_dhruthi_ Look at other people tweeting about availability of icu, bed, oxygen in Bangalore:

- https://t.co/6dek85UCIN 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/xKhtjFkxt1"
,,,,,,,
vks_24,2021-05-06 11:56:03,oxygen,UNKNOWN,NA,['917979963368'],"['Hyderabad', 'Bangalore', 'Mumbai', 'Delhi']","For oxygen concentrator across India, contact +917979963368
verified by @AayushS46288526 
Not personally sure of the prices. I can only provide leads to you prices you have to discuss with vendors. Pls whatsapp / call them and check.
#delhi #hyderabad #bangalore #mumbai #lucknow https://t.co/eGrDm6zWgJ"
ch2007sai2,2021-05-06 11:48:07,oxygen,AVAILABLE,NA,['9886444009'],['Bangalore'],"VERIFIED SOURCE

Message: Oxygen concentrators (5LPM) available in Bangalore.
ph - 9886444009

Please do due diligence, only contact point verified, do not pay in advance.
#oxygen-concen

Screenshot: https://t.co/fghMuZsFNi

Posted at: 06-05-21 05:04 PM

#Verified"
Fightforbadser1,2021-05-06 11:46:53,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@karthik_aaren Some good people are posting about availability of icu, bed in Bangalore:

- https://t.co/Rl3HPu4JYH 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/P8Z8Pdhdyn"
drum2109,2021-05-06 11:45:39,oxygen,UNKNOWN,NA,[],['Bangalore'],"✅VERIFIED
05/05/21 11:17 AM

Oxygen concentrator 
Ganesh Singh (+91 81233 14373) 
Location: Kumarswamy Layout

#Bangalore #Oxygen #Verified #COVIDEmergencyIndia"
drum2109,2021-05-06 11:45:16,oxygen,AVAILABLE,NA,[],['Bangalore'],"Verified on 2021-05-05-00:24:00.

Bangalore. Oxygen Concentrator.

Price and availability same as tweet below. 

5 Liters only. 38%.

1 piece left. https://t.co/jKQbiA2El1"
drum2109,2021-05-06 11:44:37,oxygen,AVAILABLE,NA,['8152853107'],['Bangalore'],"Oxygen Concentrator Available in Bangalore, 
Contact : 8152853107 Oxygen Concentrator - 7L

Verified on: 5/5/21 1:01 PM by someone else (forwarded lead)

#Covid #Verified #Resources #Help #corona #Bangaluru #COVIDEmergencyIndia #COVID19 #COVID19India #OxygenConcentrators  #Oxygen"
F1GMAT,2021-05-06 11:41:55,ICU Bed,NEED,NA,['0997292282'],['Bangalore'],"#Urgent ICU bed required for a 68 year old in Bangalore who needs immediate ventilator support. Please share verified leads or kindly reach out to his son - Arun Thomas (Ph:09972922829)
@BbmpEast #SOS #COVIDEmergency2021 #Bengaluru"
findthecolors,2021-05-06 11:41:51,ICU Bed,AVAILABLE,NA,[],['Bangalore'],"@atuljose Please look here for people posting about availability of icu, ventilator, bed in Bangalore:

- https://t.co/MIFUlZ2yQR 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/DIikGuhmSs"
Shrutianforlife,2021-05-06 11:41:03,ICU Bed,NEED,NA,['0997292282'],['Bangalore'],#Urgent ICU bed required for a 68 year old in Bangalore who urgently needs ventilator support. Please share verified leads or kindly reach out to his son - Arun Thomas (Ph:09972922829) #CovidHelp #CovidCareBangalore #SOS @Nivivacious @peakbengaluru @Suriyamanoher_S
Sooraj11120805,2021-05-06 11:32:33,oxygen,UNKNOWN,NA,['9513113766'],['Bangalore'],"Oxygen Cylinders in Bangalore 

Contact : 9513113766 

#Verified at 6th May 3pm

#Covid #Help #Corona #Bengaluru"
findthecolors,2021-05-06 11:23:05,other,AVAILABLE,NA,[],['Bangalore'],"@SatyanSibi Please look here for people posting about availability of ventilator in Bangalore:

- https://t.co/FkBLF9Rzdf 
- Contact the respective BBMP helpline - https://t.co/YTTFTkqz7v

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/iOtwqmT7Dj"
CVDResourcesBot,2021-05-06 11:19:50,other,AVAILABLE,NA,['9738386480'],['Bangalore'],"#Bangalore #Bengaluru
#normal #Beds Available

Name: Rashad
Phone: 9738386480
Location : Columbia Asia COVID Centre, Whitefield

#Verified on 06/05

#Bengalurucovid #bangalorecovid"
Minionmercy,2021-05-06 11:18:36,oxygen,NEED,NA,[],['Bangalore'],"Does anyone have leads for verified #oxygen CONCENTRATOR suppliers, not cylinder. Needed in #Bangalore 

#COVIDHelpBangalore"
