username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
e32528902,,"Hyderabad, India",65,6,113,2018-12-16 08:13:46,2021-04-30 03:51:58,4,"*Plasma requirement in Nellore :*

G mohan 42 years
Contact ::: 9912876425
Recently recovered ""O +ve"" plasma needed. 

#PlasmaRequirement",[]
Prasad,"Earning my bread, butter, and scotch through IT.",Bharat,3492,1861,134652,2006-12-22 08:32:32,2021-04-30 03:51:51,28,"#SOS #Noida #plasmadonor

Close friend father is hospitalized at Yathartha Hospital, Noida Extension. 

He urgently needs Plasma (B+)

Donor needs to be B+ blood group who recovered from COVID in last 14 days to 2 months. 

Contact numbers: 9958500718, 9821490088, 95554 66777","[{'text': 'SOS', 'indices': [18, 22]}, {'text': 'Noida', 'indices': [23, 29]}, {'text': 'plasmadonor', 'indices': [30, 42]}]"
aradhyathakur_,Rise And Shine ✨✨Here to support #RubinaDilaik,,525,295,29925,2019-07-08 14:14:24,2021-04-30 03:51:44,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
SOSCovidIndia,India 🆘 COVID SUPPORT - https://t.co/5NdGMIWevy. retweets and tweets are not endorsements,,15,25,360,2021-04-26 11:14:52,2021-04-30 03:51:40,1,"#delhi SELF VERIFIED AND TESTED #Plasma leads‼️ ALL BLOOD GROUPS #Noida ‼️ #Plasma available within 3-4hrs only‼️PLS AMPLIFY AND RT FOR VISIBILTY 
#CovidIndiaInfo #COVID19 #Covid19Help #CovidDelhi #Plasma #PlasmaRequirement #PlasmaDonors #helpindia SEND IT TO THOSE WHO NEED It https://t.co/PsFmTzpbeY","[{'text': 'delhi', 'indices': [21, 27]}, {'text': 'Plasma', 'indices': [53, 60]}, {'text': 'Noida', 'indices': [86, 92]}, {'text': 'Plasma', 'indices': [96, 103]}]"
makthalntrfans,నందమూరి తారకరామారావు అన్న మక్తల్ ఫ్యాన్స్,"makthal,telangana",64,4,65,2021-03-31 11:54:23,2021-04-30 03:51:39,185,On the Spot also available now... ☝🏻 #Vizag #OxygenCylinders,"[{'text': 'Vizag', 'indices': [51, 57]}, {'text': 'OxygenCylinders', 'indices': [58, 74]}]"
AbidaHawaldar,"Mother,wife,daughter...now changing my definition...being just ME","Mumbai, India",78,29,965,2017-03-01 13:44:26,2021-04-30 03:51:28,39,"Srinivasa Avare,
For Covid19 patient , #PlasmaDonor needed
URGENT. 🙏 @srinivasiyc
Patient name: chandur Shyam sundar Rao 
Age: 58 years
Ravindra hospitals, chaitanyapuri 
O+ plasma therapy
Contact number: 
9014124501
9059544844
#HyderabadSOS","[{'text': 'PlasmaDonor', 'indices': [53, 65]}]"
Iam_SriHarsha_,,India,33,79,34716,2018-01-01 09:43:50,2021-04-30 03:51:16,85,"One of my family members tested +ve for covid
Need o+ve plasma immediately
It's an emergency
Patient name: G.Indira
Rdt hospital,ananthapur
Ph no:6300402609
Pls share if it's possible 🙏

#PlasmaRequirement
@Puttaparthi_MBF 
@MBofficialTeam 
@SVC_official",[]
GaneshC93332181,,,1,0,1,2021-04-29 15:25:23,2021-04-30 03:50:48,93,"#Oxygen refilling available at #Madanapalle #Chittoor 
Contact: 9490067947
#Covid19IndiaHelp #OxygenCylinders #AndhraPradesh 
Verified at 7:45 pm, April 29th","[{'text': 'Oxygen', 'indices': [18, 25]}, {'text': 'Madanapalle', 'indices': [49, 61]}, {'text': 'Chittoor', 'indices': [62, 71]}, {'text': 'Covid19IndiaHelp', 'indices': [93, 110]}, {'text': 'OxygenCylinders', 'indices': [111, 127]}]"
SyedAsg40342647,,,257,528,58522,2020-05-06 06:45:57,2021-04-30 03:50:30,2,"#SOS ‼️❗
Donor plz call kaushik 🙏🙏🙏🙏
*Lucknow Plasma Needed* 
Patient name: - Subhash Pandey 
Age: - 60 
*Plasma of Any blood group*
Attendee name: - Kaushik Pandey ( Son ) 
Mob: - 7524886789
Via- Sudhanshu Mishra

#Save_Lives
 #PlasmaRequirement
@Ashok_Kashmir","[{'text': 'SOS', 'indices': [13, 17]}]"
iamlipikaghosh,"do your duty.. without thinking about the results..#RubinaDilaik 🏆❤ #rubinav ❣❣
This account will always be active for Rubina mam
Government Employee 🌟🌟",India,431,421,24740,2021-01-04 05:09:42,2021-04-30 03:50:15,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
I_abhipandey,"Marketing Man, Music is Life, Ardent Traveler, Fun Loving & Intelligent Humor fan, Hates Liar, Loves Drive Out and an ardent Modi Supporter (Not a fanatic tho)","Mulund West, Mumbai",577,366,3431,2012-05-06 09:47:44,2021-04-30 03:49:53,1,".@AdminLKO @IIML @adgzonelucknow  please find a kind soul to donate plasma🙏
Very urgent #PlasmaRequirement 
@rahulrastogibjp
@DrKumarVishwas

#CoviBuddy please help 🙏 https://t.co/VkomX7MnDP","[{'text': 'PlasmaRequirement', 'indices': [105, 123]}]"
gunjakapoor,"I was innocent, then life happened... 
Lucknow, Martinian, I am lucky to be followed by PM Modi here ❣️❣️",Lucknow,2333,37469,38913,2008-12-22 17:40:19,2021-04-30 03:49:21,1,".@AdminLKO @IIML @adgzonelucknow  please find a kind soul to donate plasma🙏
Very urgent #PlasmaRequirement 
@rahulrastogibjp
@DrKumarVishwas

#CoviBuddy please help 🙏 https://t.co/VkomX7MnDP","[{'text': 'PlasmaRequirement', 'indices': [88, 106]}, {'text': 'CoviBuddy', 'indices': [142, 152]}]"
yogeshsoni900,,Banswara (raj),135,60,165,2013-01-15 13:09:51,2021-04-30 03:49:14,0,"#HappyBirthdayRohitSharma
#OxygenCylinders
#NFLDraft2021
#bbcqt
#NFLDraft
#COVID19
#uppoompat
#RohithSharma
💥Remove Dark Circles from face permanently💥

💥Best Home Remedies to Remove Dark Circles💥

💥Link : https://t.co/yyaK7Y1SuZ 💥

💥Click on the link to get all details💥 https://t.co/CQ4fBvEHKo","[{'text': 'HappyBirthdayRohitSharma', 'indices': [0, 25]}, {'text': 'OxygenCylinders', 'indices': [26, 42]}, {'text': 'NFLDraft2021', 'indices': [43, 56]}, {'text': 'bbcqt', 'indices': [57, 63]}, {'text': 'NFLDraft', 'indices': [64, 73]}, {'text': 'COVID19', 'indices': [74, 82]}, {'text': 'uppoompat', 'indices': [83, 93]}, {'text': 'RohithSharma', 'indices': [94, 107]}]"
Rubina2605,Thinking.....,India,1527,1798,59274,2020-12-26 12:49:57,2021-04-30 03:49:13,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
mgnayak5,"Bhakt of @narendramodi ,Turned Atheist since 2013 Followed by 6K beautiful people. Ex AIVA",India,1429,7059,307555,2010-05-10 10:18:00,2021-04-30 03:48:46,1,"Rapid Oxygen Supply available at DoorStep for emergencies by bike rental.

Bengaluru Startup 

 Phone: 7069999961 #CovidResources  

#OxygenCylinders #Bangalore
Not Verified 🙏🙏 https://t.co/C1jLMxwr62","[{'text': 'CovidResources', 'indices': [114, 129]}, {'text': 'OxygenCylinders', 'indices': [133, 149]}, {'text': 'Bangalore', 'indices': [150, 160]}]"
Anushi7SM1,Just for fun!! Creatively active!! ❤️,,1308,554,16691,2021-02-15 14:39:02,2021-04-30 03:48:40,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
Ratnasaialladi,"@Pawankalyan (Bhakthudu) @Sachin_rt
 @ImRo45 @IamSaiDharamTej (My Hero) 
https://t.co/M2L5SOW35J","Hyderabad, India",465,2028,102067,2014-12-19 08:32:16,2021-04-30 03:48:35,10,"Plasma requirement in Nellore :

G mohan 42 years
Contact ::: 9912876425
Recently recovered ""O +ve"" plasma needed. 

#PlasmaRequirement",[]
twittegaurav,A LEO |Dreamer | Moody | Scarcatic | coffee lover| Love humor | Painter | Enjoy Photography | Armchair Philosopher| Mad|Emotional to the foolest & romantic,"New Delhi, Delhi",476,175,11022,2009-07-31 12:42:49,2021-04-30 03:48:32,199,"NOT JUST BLACKMARKETING|  Cheats too have smelt a fortune amid #Oxygen need of #covid patients. 2 arrested selling #FireExtinguishers as  #OxygenCylinders by #DelhiPolice Dwarka dist team. 5 'cylinders' seized. Case regd under cheating, endangering public safety and Epidemic Act. https://t.co/8nfjYHOnom","[{'text': 'Oxygen', 'indices': [80, 87]}, {'text': 'covid', 'indices': [96, 102]}]"
SurendraJillel2,angry,,5,4,3799,2020-05-19 19:03:49,2021-04-30 03:47:52,185,On the Spot also available now... ☝🏻 #Vizag #OxygenCylinders,"[{'text': 'Vizag', 'indices': [51, 57]}, {'text': 'OxygenCylinders', 'indices': [58, 74]}]"
VenkataRaju,"Indian { Politics, Problems }, Software ( Java, JavaScript )",India (🇮🇳),78,119,38946,2008-10-23 04:13:55,2021-04-30 03:47:38,36,"#COVIDEmergency Just 32year old lady struggling for her life outside of a Delhi hospital. @ArvindKejriwal कुछ करिए साहब।
Mansi Arora #COVID19 positive
Current SpO2 without Oxygen support-74, #Oxygen or #ICUBed needed as CTscore is23
Contact 98995 60616
@srinivasiyc #SOSIYC Help","[{'text': 'COVIDEmergency', 'indices': [18, 33]}]"
rohitchavan19,,,161,39,1340,2012-04-03 02:54:07,2021-04-30 03:47:34,2,"#MahaCovid
#PlasmaRequirement 

Urgent need of plasma

Patient Name - Vijay Patil
Age - 61 years
Blood group - O+ve
Nilkamal Hospital, Jalgoan, Maharashtra

Please revert if any leads..

@iamShantanu_D @HarshadaSwakul
@TitikshaChitale 
@sandyshinde11","[{'text': 'MahaCovid', 'indices': [18, 28]}, {'text': 'PlasmaRequirement', 'indices': [29, 47]}]"
SuryaNandepu,,Amalapuram (Konaseema) ,251,3066,49703,2011-09-02 08:55:09,2021-04-30 03:47:15,10,"Plasma requirement in Nellore :

G mohan 42 years
Contact ::: 9912876425
Recently recovered ""O +ve"" plasma needed. 

#PlasmaRequirement",[]
Lokalwala3,"Simply it's a Pickup &Deliver.
Just  Call/WhatsApp to  +91-9490679590","Vizag,Kakinada, Rajahmundry",0,87,2609,2019-09-24 04:52:55,2021-04-30 03:47:09,0,"🆘🚨🆘🚨🆘🚨 PLASMA A+

Patient name: dilbagh singh ,
Hospital :delhi heart and lungs hospital 
Age 26
Contact:9643938564
#delhi #Amplify #Emergency #SOSIYC #COVIDEmergency #CovidResources #Plasma #DelhiNCR #SOS #CoronaSecondWave #PlasmaDonor","[{'text': 'delhi', 'indices': [116, 122]}, {'text': 'Amplify', 'indices': [123, 131]}, {'text': 'Emergency', 'indices': [132, 142]}, {'text': 'SOSIYC', 'indices': [143, 150]}, {'text': 'COVIDEmergency', 'indices': [151, 166]}, {'text': 'CovidResources', 'indices': [167, 182]}, {'text': 'Plasma', 'indices': [183, 190]}, {'text': 'DelhiNCR', 'indices': [191, 200]}, {'text': 'SOS', 'indices': [201, 205]}, {'text': 'CoronaSecondWave', 'indices': [206, 223]}, {'text': 'PlasmaDonor', 'indices': [224, 236]}]"
yashotej,,India,70,25,1328,2011-04-28 08:55:19,2021-04-30 03:47:06,0,"Required plasma from covid recovered person.
Patient name: Malleswari Gauney
Hospital : V R MULTI Specialty Hospital, D. No. 40, Prakash Nagar, Kurnool, Andhra Pradesh.
Blood group : A+
Contact no: 9908864053(Vamsi)
@TeamSOSIndia #PlasmaRequirement #PlasmaDonor","[{'text': 'PlasmaRequirement', 'indices': [230, 248]}, {'text': 'PlasmaDonor', 'indices': [249, 261]}]"
drive39473977,"Social Media is Fake and so this account

I don't belong to a country/gender/caste/religion I m just a part of this Mankind",,95,116,9275,2021-02-15 12:23:06,2021-04-30 03:47:05,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
AkshadaKanade9,Rubina Dilaik Fan Backup,Pune Maharashtra,920,489,7450,2020-12-15 09:34:04,2021-04-30 03:46:42,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
yeshwanth9641,#Pawankalyan # SachinTendulkar # Rohit Sharma # CA Student,,1172,828,22465,2015-07-09 15:35:14,2021-04-30 03:46:31,4,"*Plasma requirement in Nellore :*

G mohan 42 years
Contact ::: 9912876425
Recently recovered ""O +ve"" plasma needed. 

#PlasmaRequirement",[]
Arun76740538,,"Kanpur, India",636,156,26182,2018-07-21 01:56:43,2021-04-30 03:46:29,6,"Urgent required plasma donor in kanpur
Patient name - sudhir tiwari
Age - 37
Blood group - B+
Contact - 6391948903
Pulse rate-60 
#PlasmaDonor #COVIDEmergency2021  @SonuSood @yogitabhayana @sardanarohit @chitraaum @TajinderBagga @myogiadityanath https://t.co/U7oX267myh",[]
sun_itsSD,"𒆜🙏JΛI JIПΣПDЯΛ🙏𒆜
#TechLover📱💻📷🖥️
Member of #StufflistingsArmy","Indore, India",2000,746,39029,2017-02-17 05:44:44,2021-04-30 03:46:24,30,People of #DelhiNCR and #Haryana please come forward and help. #Plasma #PlasmaRequirement #CovidNC https://t.co/XvPhkXnOF3,"[{'text': 'DelhiNCR', 'indices': [28, 37]}, {'text': 'Haryana', 'indices': [42, 50]}, {'text': 'Plasma', 'indices': [81, 88]}, {'text': 'PlasmaRequirement', 'indices': [89, 107]}, {'text': 'CovidNC', 'indices': [108, 116]}]"
Saanch23,Managed by @saanch22,India,1004,1734,5684,2020-11-29 15:00:11,2021-04-30 03:46:21,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [41, 47]}]"
natsuredfox3579,To those bitches who follow and later unfollows after I followed them back    just fuck off bitches,,532,420,7058,2017-01-22 09:00:33,2021-04-30 03:46:21,289,"Urgently required plasma 
For O+ plasma
Pls contact 
Thirupathi : 9000483473
Sri sai ram hospital
Sangareddy
Please help 🙏
@RRRMovie @SVC_official @KTRTRS @RaoKavitha @KonathamDileep
#PlasmaRequirement #Plasma https://t.co/ZeHJKMVTzG",[]
Saanch23,Managed by @saanch22,India,1004,1734,5684,2020-11-29 15:00:11,2021-04-30 03:46:17,8,"Anybody needs A+ plasma in #Delhi NCR can dm me. Do not contact if you are not the patient's immediate family. People who are just trying to gather leads won't be entertained. 
#Plasma #PlasmaRequirement  #PlasmaDonor #PlasmaDonation #SOSDelhi","[{'text': 'Delhi', 'indices': [27, 33]}, {'text': 'Plasma', 'indices': [177, 184]}, {'text': 'PlasmaRequirement', 'indices': [185, 203]}, {'text': 'PlasmaDonor', 'indices': [205, 217]}, {'text': 'PlasmaDonation', 'indices': [218, 233]}, {'text': 'SOSDelhi', 'indices': [234, 243]}]"
VineetS83755664,"https://t.co/In7vBJVt1H ,IIT.Interest in Sports,Travelling,Equities,Movies.","New Delhi, India",193,6,4221,2019-09-13 15:28:35,2021-04-30 03:45:54,0,"#Delhi
#OxygenCrisis 
#CoronaVaccine 
#CovidIndiaInfo 
#OxygenCylinders 
#OxygenEmergency 
#REMDESIVIR 

Delhi lockdown imposed when daily cases went upto 25,000 with infection rate of 30%.

It would have been better if strict controls were imposed when infect rate was 5 to 10%.","[{'text': 'Delhi', 'indices': [0, 6]}, {'text': 'OxygenCrisis', 'indices': [7, 20]}, {'text': 'CoronaVaccine', 'indices': [22, 36]}, {'text': 'CovidIndiaInfo', 'indices': [38, 53]}, {'text': 'OxygenCylinders', 'indices': [55, 71]}, {'text': 'OxygenEmergency', 'indices': [73, 89]}, {'text': 'REMDESIVIR', 'indices': [91, 102]}]"
TALI189,"CS,LLB,Company Law Expert,RTs r not endorsements,do nt support any political party,system improvements r my fav.tweets, keen on promoting all sports,",🇮🇳🇮🇳🇮🇳,5017,1042,142101,2012-07-20 16:05:56,2021-04-30 03:45:39,28,"#SOS #Noida #plasmadonor

Close friend father is hospitalized at Yathartha Hospital, Noida Extension. 

He urgently needs Plasma (B+)

Donor needs to be B+ blood group who recovered from COVID in last 14 days to 2 months. 

Contact numbers: 9958500718, 9821490088, 95554 66777","[{'text': 'SOS', 'indices': [18, 22]}, {'text': 'Noida', 'indices': [23, 29]}, {'text': 'plasmadonor', 'indices': [30, 42]}]"
21octAmar,Beieng Selfless,"Gulbarga, India",479,63,12393,2018-03-09 14:51:03,2021-04-30 03:45:33,815,"Rapid Oxygen Supply available at door for emergencies by bike rental

Bengaluru Startup 

 Phone: 7069999961 #CovidResources  

#OxygenCylinders #Bangalore https://t.co/1mRIbXFr14",[]
singhalrajeshh,"hi,i am Rajesh Singhal an entrepreneur by profession.","delhi,india",617,116,756,2009-12-21 12:03:01,2021-04-30 03:45:32,0,"#PlasmaDonor #PlasmaRequirement #Plasma4Covid required for a patient in faridabad. Pls help. 
Patent name.
Gorank Gupta
Hospital name park hospital , sector-10, j Block,
Faridabad
ICU. +91 98184 59201
@richaanirudh @cmohry @JagranNews @IamRituKataria","[{'text': 'PlasmaDonor', 'indices': [0, 12]}, {'text': 'PlasmaRequirement', 'indices': [13, 31]}, {'text': 'Plasma4Covid', 'indices': [32, 45]}]"
Jayantj58526689,"JayantJena
Love Congress",,25,10,2198,2021-01-10 05:35:46,2021-04-30 03:45:19,7,"No celebrity, Film Star 🎥, Politician
died due to #OxygenShortage ?
 🌟 
Only poor and middle class people died without #OxygenCylinders Medicines 💊 and  hunger 😢

A picture 📷 released by RSS. 

#COVID19 
#IndiaCovidCrisis https://t.co/PdiAjdYxpg","[{'text': 'OxygenShortage', 'indices': [70, 85]}]"
divakar2192,Views expressed here are purely personal.!!,"Schaumburg, IL",847,254,2483,2011-06-27 16:03:31,2021-04-30 03:45:09,9,"#Oxygen refilling available at #Madanapalle #Chittoor 
Contact: 9490067947
#Covid19IndiaHelp #OxygenCylinders #AndhraPradesh 
Verified at 7:45 pm, April 29th

@ysjagan 
@ncbn @tarak9999 @MPLTalkies @infomadanapalle","[{'text': 'Oxygen', 'indices': [20, 27]}, {'text': 'Madanapalle', 'indices': [51, 63]}, {'text': 'Chittoor', 'indices': [64, 73]}, {'text': 'Covid19IndiaHelp', 'indices': [95, 112]}, {'text': 'OxygenCylinders', 'indices': [113, 129]}]"
MikeRaj27,#Coffeeholic #More issues than vogue.,Mumbai,127,24,392,2011-09-08 13:17:11,2021-04-30 03:45:05,37,To all the Black Marketeers &amp; those who are charging exorbitant rates for #Ambulances #OxygenCylinders #medicines at this time — You’ve sold your conscience &amp; making money out of people’s misery will certainly not be fulfilling for your own.,"[{'text': 'Ambulances', 'indices': [91, 102]}, {'text': 'OxygenCylinders', 'indices': [103, 119]}, {'text': 'medicines', 'indices': [120, 130]}]"
Lasaa_V,"ᑕнασs ιsη'т α ριт🎳 ᑕнασs ιs α ℓα∂∂εr  🇱🇻иαℓαη∂íαη 📯ᐯιєωs αяє мιηє & яεтωεεтs αяε иσт єη∂σяsмєηтs❤ нυят αℓєят⚠️
He/His #BlackLivesMatter
JournaliSM #LKA 🇱🇰",Kαℓυtαrα,4998,3208,92371,2014-03-17 05:56:39,2021-04-30 03:44:51,2,"Two men from Delhi’s Dwarka  have been arrested for selling fire extinguishers as oxygen cylinders to people desperately looking for oxygen for Covid-19 patients.

#OxygenCylinders

https://t.co/XbljuBWflV",[]
BlessedEnf,Skip for now...,India,2055,1809,7216,2019-06-12 12:02:33,2021-04-30 03:44:50,199,"NOT JUST BLACKMARKETING|  Cheats too have smelt a fortune amid #Oxygen need of #covid patients. 2 arrested selling #FireExtinguishers as  #OxygenCylinders by #DelhiPolice Dwarka dist team. 5 'cylinders' seized. Case regd under cheating, endangering public safety and Epidemic Act. https://t.co/8nfjYHOnom","[{'text': 'Oxygen', 'indices': [80, 87]}, {'text': 'covid', 'indices': [96, 102]}]"
PowerStarPranam,,Somewhere,373,295,20603,2014-11-28 05:07:13,2021-04-30 03:44:32,4,"*Plasma requirement in Nellore :*

G mohan 42 years
Contact ::: 9912876425
Recently recovered ""O +ve"" plasma needed. 

#PlasmaRequirement",[]
ashkbhat,"मैंने कई शरों को अधूरा छोड़ा है रिंद हो के, कुछ ख़यालो में कुछ हर्फो में",प्रयागराज,173,158,13753,2016-10-09 18:56:55,2021-04-30 03:44:18,28,"#SOS #Noida #plasmadonor

Close friend father is hospitalized at Yathartha Hospital, Noida Extension. 

He urgently needs Plasma (B+)

Donor needs to be B+ blood group who recovered from COVID in last 14 days to 2 months. 

Contact numbers: 9958500718, 9821490088, 95554 66777","[{'text': 'SOS', 'indices': [18, 22]}, {'text': 'Noida', 'indices': [23, 29]}, {'text': 'plasmadonor', 'indices': [30, 42]}]"
AtuL1617_,"Assistant Editor | Chanakya Forum @ChanakyaForum | Weapons Platform | Interested in FirePower, D-Forces and Geopolitics | E: atul@chanakyaforum.com | DMs Open!",DILLI,238,1875,9050,2018-02-28 06:06:18,2021-04-30 03:44:16,6,"Urgent required plasma donor in kanpur
Patient name - sudhir tiwari
Age - 37
Blood group - B+
Contact - 6391948903
Pulse rate-60 
#PlasmaDonor #COVIDEmergency2021  @SonuSood @yogitabhayana @sardanarohit @chitraaum @TajinderBagga @myogiadityanath https://t.co/U7oX267myh",[]
NadellaManideep,,,218,153,41729,2020-03-26 03:58:44,2021-04-30 03:44:01,341,REQUIREMENT - #Warangal #OxygenCylinders #COVIDEmergency https://t.co/XpNk1sVxp1,"[{'text': 'Warangal', 'indices': [28, 37]}, {'text': 'OxygenCylinders', 'indices': [38, 54]}, {'text': 'COVIDEmergency', 'indices': [55, 70]}]"
