username,tweet_date,resource,req,bloodgroup,contact,cities,tweet
CVDResourcesBot,2021-05-06 14:36:58,oxygen,AVAILABLE,NA,['9833708378'],['Mumbai'],"#Verified
SOUTH MUMBAI

Oxygen cylinders are available.
Name - Shuaib Khatib

Phone - 9833708378
Location - Janjikar Street, Mumbai-400002
Last verified @ 5/5/21 5:06 pm

#CovidHelp #CovidResources #COVIDEmergency2021 #MahaCovid 
#Mumbai #OxygenCylinders"
shalini84616530,2021-05-06 14:34:39,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Delhi']","This is a source of #oxygen leadsai as of today, verified personally by an intern in my team.

Cities: #Pune, #Delhi, #Mumbai, #Kolkata #Lucknow

I'll try to share a verified list everyday 
 #COVID19India https://t.co/MEXuGFK3P4"
CVDResourcesBot,2021-05-06 14:33:19,oxygen,AVAILABLE,NA,['7738410577'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
Mumbai Colaba

Oxygen cylinders available

Red crescent society of india
( 8000 deposit and 6000 will be returned once you return the cylinder) 
Contact-7738410577
Address- G1, sushil building, A B road, colaba, mumbai-400005

Last verified @ 6/5/21 01:04 PM"
CVDResourcesBot,2021-05-06 14:32:56,oxygen,AVAILABLE,NA,['9321580108'],['Mumbai'],"✅𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 
Mumbai
Oxygen cylinders available (free of cost) 

Near Simandhar Swami jinalaya
Ghatkopar
Contact- 9321580108
Address- chitranjan nagar ,co-operative society, Plot no. A/21-81, Rajawadi, Ghatkopar-E, Mumbai-400077
Last verified -6/5/21 12:55 PM"
Tisha96057101,2021-05-06 14:32:52,oxygen,AVAILABLE,NA,['9136713647'],['Mumbai'],"Oxygen Cylinders Available at Mumbai 

Name: Pankaj

Contact: 9136713647

Location: Mumbai 

Verified at 7:17 Pm , 6th May
#COVIDEmergencyIndia #OxygenCylinders #Mumbai #Ahmedabad"
Tisha96057101,2021-05-06 14:32:49,oxygen,AVAILABLE,NA,['9821070775'],['Mumbai'],"Oxygen Cylinders Available in Mumbai 

Contact: 9821070775
Location: Mumbai 

Verified at 7:15 PM , 6th May
#COVIDEmergencyIndia #OxygenCylinders #Mumbai #Maharashtra"
Chanaky54822206,2021-05-06 14:32:33,oxygen,AVAILABLE,NA,['9136713647'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
 MUMBAI 
Oxygen Cylinders Available 

Name: Pankaj
Phone: 9136713647
Location: Mumbai 

Last Verified @ 06/05/21, 5:20 PM

#MaharashtraFightsCorona #Covid19IndiaHelp"
Chanaky54822206,2021-05-06 14:32:28,oxygen,AVAILABLE,NA,['9821070775'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI
Oxygen Cylinders Available 

Phone: 9821070775
Location: Mumbai 

Last Verified @ 06/05/21, 5:28 PM

#MaharashtraFightsCorona #Covid19IndiaHelp"
CVDResourcesBot,2021-05-06 14:31:47,oxygen,AVAILABLE,NA,"['7977703913', '9819298666']",['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
#MUMBAI GOREGAON-W
#Oxygen cylinders available
VEER Foundation

Name: Dhaval Sanhvi/Nishith Shah
Phone: 7977703913/9819298666
Location: Gundecha Aradhna Bhawan, Plot No 92/93,road no-5, Jawahar nagar, Goregaon W

Last Verified @ 6/05/21 08:49 AM

#MumbaiCovid"
CVDResourcesBot,2021-05-06 14:31:04,oxygen,AVAILABLE,NA,['9819150955'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝

Mumbai
Kashimera
Oxygen cylinders  available 

Name- shafique
Contact - 9819150955
Address - J P File Foundation, Laxmi Baug, Kashigaon, Mira Road, Mira Bhayandar, Maharashtra 401107

Last verified @ 6/5/21 12:10 PM"
i_ampuja,2021-05-06 14:30:46,oxygen,AVAILABLE,NA,['096193 8182'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI
Oxygen concentrators of 5L available (Price- ₹55,000 + gst) 

Contact - 096193 81829
Location - Jupiter equipment
Garodia Shopping Centre 149/156 Ground Floor, behind Union Bank of India, Garodia Nagar, Ghatkopar East

Last verified @ 6/5/21, 9:12 AM"
manishbaps,2021-05-06 14:29:06,oxygen,AVAILABLE,NA,['9321580108'],['Mumbai'],"#Mumbai #BMC
Oxygen cylinders available (free of cost) 
Near Simandhar Swami jinalaya
Ghatkopar
Contact- 9321580108
Address- chitranjan nagar ,co-operative society, Plot no. A/21-81, Rajawadi, Ghatkopar-E, Mumbai-400077
Last verified -6/5/21 12:55 PM
#CovidIndiaInfo  #CovidIndia"
menve_s,2021-05-06 14:28:30,oxygen,AVAILABLE,NA,['8369089107'],['Mumbai'],"India verified
At 3:09pm 06/05

Oxygen Concentrators available

Mumbai based.  Pre booking preferred.

5ltr @70k+gst 
10ltr @99k +gst 
Delivery in 7days at an extra charge 

Full payment should made before dispatch

Invoice proforma and tracking ID will be provided 

8369089107"
manishbaps,2021-05-06 14:27:40,oxygen,AVAILABLE,NA,['6296424675'],['Mumbai'],"#CovidVaccinea  available in #Mumbai
#Oxygen beds available
#Food free, medical equipments free, medicine less costly available*
Free of cost treatment*

Rakesh jha
6296424675
#Call now
Verified leads
#CovidResources #CovidIndia"
CVDResourcesBot,2021-05-06 14:26:21,oxygen,AVAILABLE,NA,['7738477604'],['Mumbai'],"AVAILABLE BEDS

Normal beds, ICU, and Oxygen Beds Available in Mumbai, Maharashtra 

Contact -7738477604
Address-Ashapuri Hospital, Dahisar, Mumbai  Verified: 17:40 PM 05/05/2021

@bhumipednekar"
Covid19Help10,2021-05-06 14:26:12,oxygen,UNKNOWN,NA,"['9986966909', '6304495317']","['Bangalore', 'Mumbai', 'Delhi', 'Nagpur', 'Chennai']","VERIFIED #Oxygen LEAD
#Bangalore #Delhi #DelhiNCR
#Chennai #Mumbai #Jaipur #Chandigarh #Pune #Nagpur
#Ajmer #Lucknow #Jodhpur #Mysore #Vijayvada #Vizag
Other cities delievery within 30 hrs.
9986966909, 6304495317 (Ashish)
@HelplinePunjab @Prateek_Rishi @mohitgupta1962"
CVDResourcesBot,2021-05-06 14:23:36,oxygen,AVAILABLE,NA,['9821070775'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
#MUMBAI
#Oxygen Cylinders Available 

Phone: 9821070775
Location: Mumbai 

Last Verified @ 06/05/21, 5:28 PM

#MumbaiCovid #IndiaNeedsOxygen #IndiaFightsCOVID19"
CVDResourcesBot,2021-05-06 14:22:19,oxygen,AVAILABLE,NA,[],['Mumbai'],"ShopG Verified Oxygen in Mumbai, Available.
Check here - 
https://t.co/ju9zqUF4BG
Verified 20mins ago

#CovidHelp #COVIDEmergency #COVID19 #ShopGCovidHelp #ShopG #MumbaiCovid"
NiladriD_16,2021-05-06 14:22:16,oxygen,AVAILABLE,NA,['9172815943'],['Mumbai'],"#mumbai, Andheri
Some oxygen/isolation/ICU Beds are available ✔️
(Ventilator is not available but can be arranged) 

Mangla Hospital, Andheri

Contact :- 9172815943

Verified at 7:05 PM, 6th May
#COVIDEmergencyIndia #OxygenBeds #BedsAvailable #Mumbai #Maharashtra"
NiladriD_16,2021-05-06 14:22:13,oxygen,AVAILABLE,NA,['8080833354'],['Mumbai'],"2 ICU beds, 10 oxygen beds, 10 normal beds available 
Veena Multi Specialty Hospital, Andheri, Mumbai

Contact - 8080833354

Verified at 7:14pm, 6th May

#COVIDEmergencyIndia #OxygenBeds #ICUBeds #Andheri #Mumbai #Maharashtra"
4SMSamrita,2021-05-06 14:16:36,oxygen,AVAILABLE,NA,['9820437939'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
SOUTH MUMBAI - MD. ALI ROAD 

Oxygen cylinder available 

Name: Taha Bhoira
Phone: 9820437939
6.5 Liter 
5k Deposit &amp; Refill Rs 150
Self Pick up
Doctor's Prescription &amp; Patient's Aadhar Card copy needed.

Last verified @ 06/05/21 02:03 PM
#MahaCovid #Mumbai"
RetweetsMumbai,2021-05-06 14:07:13,oxygen,AVAILABLE,NA,['9321580108'],['Mumbai'],"✅𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 
#Mumbai
Oxygen cylinders available (free of cost) 

Near Simandhar Swami jinalaya
Ghatkopar
Contact- 9321580108
Address- chitranjan nagar ,co-operative society, Plot no. A/21-81, Rajawadi, Ghatkopar-E, Mumbai-400077
Last verified -6/5/21 12:55 PM
#MahaCovid https://t.co/gp0LDu0qPF"
ShikhaS02179119,2021-05-06 14:04:37,oxygen,UNKNOWN,NA,['9930632066'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
NAVI MUMBAI- AIROLI

Oxygen Cylinder
Naman Enterprises

Name: Akash Savla
Phone: 9930632066    
Location: Airoli (Home delivery)

Last verified @ 06/05/21  12:08 AM"
Vrajpandit79,2021-05-06 14:04:02,other,UNKNOWN,NA,['8591443188'],['Mumbai'],"#Covid care center at Vile Parle Andheri East, #Mumbai 

Verified by my friend Najmul Huda
28/04/21 time 02:39 pm

Free 30 bed Facility 
Call 8591443188
#SOSSIO
Please check eligibility criteria https://t.co/Dy6xktjHVE"
nanditachowdhu1,2021-05-06 14:03:31,oxygen,AVAILABLE,NA,['8879380143'],['Mumbai'],"Oxygen concentrator available 9ltr and 7ltr ready stock
Delivery = pan india delivery 48 hr
Can pick up from office also

Call=+91-8879380143

COMPANY - 
Indian Roar llp mumbai (trusted company) can search on Google 

Verified"
,,,,,,,
RetweetsMumbai,2021-05-06 13:41:44,oxygen,UNKNOWN,NA,[],"['Mumbai', 'Delhi', 'Nagpur']","A thread containing all COVID resources like oxygen beds, hospital beds, oxygen cylinders etc. All links are verified and working. Works for all major cities including Delhi, Mumbai, Nagpur, Ranchi etc."
PrabsLOP,2021-05-06 13:34:34,oxygen,AVAILABLE,NA,['0982135398'],['Mumbai'],"Personally called and verified at 3:28 pm, May 4th.

Oxygen cylinders for COVID positive persons available at Gurdwara Shri Guru Singh Sabha in -

📍 Dadar, Mumbai, Maharashtra 
📍 दादर, मुंबई, महाराष्ट्र

Contact only if you need it -

09821353984"
RetweetsMumbai,2021-05-06 13:26:45,oxygen,AVAILABLE,NA,['8828941313'],"['Mumbai', 'Delhi']","Oxygen lead information
    Oxygen - 
    Last Verified: 13 hours ago
    Phone Number - 8828941313
    State - Delhi
    City - Delhi
    
    Other details - Also available in Mumbai
    
    To find more such covid related information leads, visit: https://t.co/PMaTxnlRwv"
whynot__me_,2021-05-06 13:26:25,oxygen,UNKNOWN,NA,['9082597161'],"['Mumbai', 'Thane']","Oxygen Cylinders supplies all over Mumbai &amp; Thane..

No:- 9082597161(whatsapp)

Self Verified ✅✅
 #Covid19IndiaHelp  #COVIDIndiaSOS 
#Mumbai"
mohitmalhoch,2021-05-06 13:16:22,oxygen,AVAILABLE,NA,['9821070775'],['Mumbai'],"#Verified
#MUMBAI
Oxygen Cylinders Available 

Phone: 9821070775
Location: Mumbai 

Last Verified @ 06/05/21, 5:28 PM"
mohitmalhoch,2021-05-06 13:15:40,other,UNKNOWN,NA,[],['Mumbai'],"#verified

Hospital Bed and Ambulance in #Mumbai 

Covid Helpline numbers in #Bengaluru 

SSRians Help In Covid Crisis https://t.co/YftmtbaOCb"
ShreyaK59011032,2021-05-06 12:50:59,oxygen,UNKNOWN,NA,['7738477604'],['Mumbai'],"Ashapuri Hospital is arranging oxygen beds for patients in Mumbai. 
Contact - 7738477604
Verified at 2:40 pm, 5th May 
#COVIDEmergencyIndia #COVIDEmergency2021 #OxygenBeds #Mumbai #Maharashtra"
ShreyaK59011032,2021-05-06 12:50:51,oxygen,AVAILABLE,NA,"['9892344222', '9820190590']",['Mumbai'],"Oxygen beds available in Mumbai
Location- Jeeto covid care center, janta nagar BMC school, behind AC market, besides imperial tower, tardev Mumbai
Contact- 9892344222, 9820190590
Verified at 3:00 pm, 5th may
#COVIDEmergencyIndia #OxygenBed #Mumbai #Maharashtra"
ShreyaK59011032,2021-05-06 12:49:18,oxygen,AVAILABLE,NA,"['7977703913', '9819298666']",['Mumbai'],"Oxygen cylinders available at MUMBAI GOREGAON-West

Contact: VEER Foundation
Name: Dhaval Sanhvi/Nishith Shah

 7977703913/9819298666

Location: Gundecha Aradhna Bhawan, Plot No 92/93, road no-5, Jawahar nagar, Goregaon W
Verified at 2:45 PM, 6th May
#OxygenCylinders #Mumbai"
RetweetsMumbai,2021-05-06 12:46:03,ICU Bed,UNKNOWN,NA,[],['Mumbai'],"Just incase people in Mumbai/Surat are not finding beds with ICU, https://t.co/IWASBS69s8 is setting up a mini ICU at home for a cost of 17k+GST per day. (verified information through a friend)
@aditiraval @AmitHPanchal @MitraGadhvi @SonuSood @HardikShah5385 #Mumbai #Surat"
queen_543_snow,2021-05-06 12:39:46,oxygen,AVAILABLE,NA,"['9821380259', '9322147902']",['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝

MUMBAI

Free Oxygen Cylinders 3ltr - Available
Doctors prescription &amp; Refundable deposit 5000/-

Name: SANJAY / BHAGCHAND
Phone: 9821380259 / 9322147902
Location: Shree Chandraprabha Jain Sangh, 186 Ramajaram Mohan Roy Rd

Last verified @ 05/05/21, 16:00"
Anujalankar9,2021-05-06 12:38:09,oxygen,NEED,NA,[],['Mumbai'],"#verified #plasma #required #Mumbai #PlasmaDonor 
Patient Name: Bashir Kadu
Oxygen Saturation: 94
Hrct report: 70% lungs damage
A positive plasma required
Currently admitted in Venkatesh MIDC covid center"
VigneshGv03,2021-05-06 12:32:11,oxygen,UNKNOWN,NA,['9930632066'],['Mumbai'],"NAVI MUMBAI- AIROLI

Oxygen Cylinder
Naman Enterprises

Name: Akash Savla
Phone: 9930632066    
Location: Airoli (Home delivery)
Verified ✔️

Last verified @ 06/05/21  4:30pm
Again verify by yourself 🙏🏻"
findthecolors,2021-05-06 12:32:02,plasma,AVAILABLE,NA,[],['Mumbai'],"@jemin_p People might be posting here about availability of plasma in Mumbai:

- https://t.co/66XZ1ietIR 
- Contact the BMC war rooms - https://t.co/fJbcH7hMe7

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/7z9jIhqnFB"
SheetalWarikoo,2021-05-06 12:29:43,oxygen,AVAILABLE,NA,"['7977703913', '9819298666']",['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI GOREGAON-West
Oxygen cylinders available
VEER Foundation

Name: Dhaval Sanhvi/Nishith Shah
Phone: 7977703913/9819298666
Location: Gundecha Aradhna Bhawan, Plot No 92/93, road no-5, Jawahar nagar, Goregaon W

Last Verified @ 6/05/21 08:49 AM

#MahaCovid"
SheetalWarikoo,2021-05-06 12:29:12,oxygen,UNKNOWN,NA,['7506399954'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI 

Oxygen concentrator
Self shield / Iticede
Name: Nasir 
Phone: 7506399954
Location: Unit-B-139, Antophill Warehousing complex, V&gt;IT&gt; College Road, Wadala east, Mumbai 400037

Last Verified @ 6/05/21 11:13 AM"
Gujju_Chhoro,2021-05-06 12:28:19,oxygen,AVAILABLE,NA,['9821070775'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
MUMBAI
Oxygen Cylinders Available 

Phone: 9821070775
Location: Mumbai 

Last Verified @ 06/05/21, 5:28 PM
#Mumbai
#MaharashtraFightsCorona #Covid19IndiaHelp"
madhavaperur,2021-05-06 12:26:21,other,UNKNOWN,NA,[],['Mumbai'],"Personally Verified: 

Anyone looking for beds in #Noida 
Asclepius Hospital, Plot No. 734, Haldoni Mod, Greater Noida
Contact- 0120 6051177 #COVIDEmergencyIndia 

🖕🏻courtesy Tushar Jadhav, IITB alum, Mumbai chapter for lead."
findthecolors,2021-05-06 12:19:51,plasma,AVAILABLE,NA,[],['Mumbai'],"@br00klynb8by Look at other people tweeting about availability of plasma in Mumbai:

- https://t.co/66XZ1ietIR 
- Contact the BMC war rooms - https://t.co/fJbcH7hMe7

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/cmIJNCZkMf"
RetweetsMumbai,2021-05-06 12:17:40,oxygen,AVAILABLE,NA,['9136713647'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
 MUMBAI 
Oxygen Cylinders Available 

Name: Pankaj
Phone: 9136713647
Location: Mumbai 

Last Verified @ 06/05/21, 5:20 PM
#Mumbai
#MaharashtraFightsCorona #Covid19IndiaHelp"
RetweetsMumbai,2021-05-06 12:15:20,oxygen,AVAILABLE,NA,['9136713647'],['Mumbai'],"#Verified
 #MUMBAI 
Oxygen Cylinders Available 

Name: Pankaj
Phone: 9136713647
Location: Mumbai 

Last Verified @ 06/05/21, 5:20 PM"
journo_aman,2021-05-06 12:11:54,oxygen,AVAILABLE,NA,['0961938182'],['Mumbai'],"09619381829
Location- Jupiter equipment Garodia shopping centre 149/156 Ground Floor, behind union bank of India, Garodia Nagar, #Ghatkopar #Easter, #Mumbai
#Oxygen #Concentrators are #available.
#Verified by Helping Hands at 10:11 on 6th May"
myhorserides,2021-05-06 12:06:50,oxygen,AVAILABLE,NA,['8879380143'],['Mumbai'],"Oxygen concentrator available : 
Delivery = pan india delivery 48 hr
Can pick up from office also

Call : 8879380143

COMPANY - 
Indian Roar llp mumbai (trusted company) can search on Google 
Verified at 4:42pm (06/05/21)

#covid19 #OxygenConcentrator #covidresources"
RetweetsMumbai,2021-05-06 12:05:55,ICU Bed,UNKNOWN,NA,['0982031422'],['Mumbai'],"#Mumbai #Maharashtra
#MaharashtraFightsCorona #Home #ICU setup in Mumbai
#Jyestha Care - 09820314228 
#Verified by Helping Hands on 6th May at 10:01 am"
Lokalwala3,2021-05-06 12:02:25,oxygen,AVAILABLE,NA,['0222636119'],['Mumbai'],"Oxygen Beds Available in Mumbai

Name: HAR Kalsekar Hospital
Area: Versova, Andheri West
Availability: Limited Oxygen Beds
Contact: 02226361199

Verified on 6th May, 2021 at 13:15 PM

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai"
Lokalwala3,2021-05-06 12:01:51,oxygen,AVAILABLE,NA,['8080833354'],['Mumbai'],"Oxygen Beds Available in Mumbai

Name: Veena Multispecality Hospital
Area: Andheri East 
Availability: 10 Oxygen Beds, 10 General Beds and 2 ICU beds
Contact: 8080833354

Verified by us on 6th May, 5:05pm

#OxygenEmergency
#OxygenBedsMumbai
#CovidAidMumbai"
RetweetsMumbai,2021-05-06 11:56:44,ICU Bed,AVAILABLE,NA,"['9322709039', '9136665305', '9136665105']",['Mumbai'],"List Of Hospitals For Availability of Covid Wards And ICU Beds (Verified)
1 Apollo Hospital, Navi Mumbai - 022-62806280
2 Sai Siddhi Hospital, Mulund- 022-25905599, 9322709039
3 Apex Hospital, Mulund And Borivali- Mulund- 9136665305, Borivali- 9136665105"
vks_24,2021-05-06 11:56:03,oxygen,UNKNOWN,NA,['917979963368'],"['Hyderabad', 'Bangalore', 'Mumbai', 'Delhi']","For oxygen concentrator across India, contact +917979963368
verified by @AayushS46288526 
Not personally sure of the prices. I can only provide leads to you prices you have to discuss with vendors. Pls whatsapp / call them and check.
#delhi #hyderabad #bangalore #mumbai #lucknow https://t.co/eGrDm6zWgJ"
Uturn_joe,2021-05-06 11:47:23,oxygen,UNKNOWN,NA,['7977703913'],['Mumbai'],"#TeamIndiaVsCovid
#Verified
#MUMBAI
#Oxygen cylinders
VEER Foundation
Name: Dhaval (7977703913) 
Location: Gundecha Aradhna Bhawan, Plot No 92/93, road no-5, Jawahar Nagar, Goregaon west
via @TeamSOSIndia
cc: @Alphatoonist @TheNeatSoul @GoofyOlives @TheNiteshSingh @AshwiniDodani"
hukatronix,2021-05-06 11:37:45,oxygen,AVAILABLE,NA,['919769842024'],"['Mumbai', 'Thane']","*#Oxygen* and *#ICUBeds* Available 

*Rohini Hospital* 
Area: #ThaneWest
Availability: *6 #OxygenBeds* and *2 ICU* beds with *BiPAP ventilator support* 
Contact: +919769842024

Verified - 06-05-2021

#Mumbai #CovidInfo #COVIDUpdates #CovidResources
#CovidHelp"
sarswatshyam,2021-05-06 11:35:27,oxygen,AVAILABLE,NA,['9869933114'],['Mumbai'],"Oxygen and ICU Beds Available in Mumbai 

Name: HAR Kalsekar Hospital

Area: Versova, Andheri West

Availability: 4 oxygen beds and 1 ICU bed

Contact: 9869933114

Verified by us on 5th May, 2021 at 10:50 AM

#CovidNC #CovidResource"
RetweetsMumbai,2021-05-06 11:26:44,plasma,UNKNOWN,NA,[],"['Hyderabad', 'Mumbai', 'Delhi']","@vikramuk @SubhadipNandy16 @WeAreHyderabad a service to help COVID patients find plasma and COVID recovered people donate plasma (Verified) in all cities incl Delhi NCR, Mumbai, Kolkata. https://t.co/4yCCviZEvg"
hukatronix,2021-05-06 11:23:51,oxygen,AVAILABLE,NA,['9820437939'],['Mumbai'],"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝
SOUTH MUMBAI - MD. ALI ROAD 

Oxygen cylinder available 

Name: Taha Bhoira
Phone: 9820437939
6.5 L
5k Deposit &amp; Refill Rs 150
Self Pick up
Doctor's Prescription &amp; Patient's Aadhar Card copy needed.

Last verified @ 06/05/21 02:03 PM
#MahaCovid #Mumbai"
RetweetsMumbai,2021-05-06 11:23:47,other,AVAILABLE,NA,['8080833354'],['Mumbai'],"1 ventilator bed available in  Veena multi-speciality hospital Andheri East

Contact number:8080833354

#Verified #Mumbai"
CVDResourcesBot,2021-05-06 11:20:58,oxygen,AVAILABLE,NA,['7738477604'],['Mumbai'],"Verified&gt;&gt; beds are available for covid patients
Contact -7738477604
Address-Ashapuri Hospital, Dahisar, Mumbai  - ICU and Oxygen Beds available"
RetweetsMumbai,2021-05-06 11:15:46,oxygen,UNKNOWN,NA,['0993084926'],['Mumbai'],"Oxygen in Mumbai 
Contact: 09930849264

Verified at 6:33 PM 01/04/21 by @HelpingHandsJpr 

#Oxygen #Mumbai #Maharashtra
#MumbaiCovid #OxygenEmergency #CovidResources #COVIDEmergency2021"
findthecolors,2021-05-06 11:13:38,ICU Bed,AVAILABLE,NA,[],['Mumbai'],"@patil_mansi01 Check if there are people who are making calls and checking for availability of icu, bed in Mumbai:

- https://t.co/h7dIwZNZeI 
- Contact the BMC war rooms - https://t.co/fJbcH7hMe7

Keep checking the links. Send SMS/WhatsApp first before calling the numbers. 🙏 https://t.co/pVyZfRHHFm"
GaneshP85276438,2021-05-06 11:07:12,plasma,UNKNOWN,NA,['9115091454'],['Mumbai'],"@Shubham96592 @TajinderBagga Verified at 2:37 pm on 27/4/2021
For Plasma In Ahmedabad (Gujarat), Mumbai (Maharashtra), Kolkata (West Bengal), Lucknow(Uttar Pradesh)

Contact: 9115091454
Whatsapp details in the format:-
Patients name-
Age-
Blood type-
RT PCR-
Hospital-
Location-
Dr. Prescription-"
