username,tweet_date,text,hashtags,id
TdnArjun,2021-05-09 00:59:07,"#ICUbeds #Hyderabad
Aashritha multi specialty hospital
Mallapur, Hyderabad
9848029833, 
ICU beds available 
Verified by Tabeer at 6:40 pm on 08.05.2021

@cbsairhyd @TelanganaCMO  @SunRisers @KTRoffice @alluarjun @TelanganaDGP @TelanganaCOPs","[{'text': 'ICUbeds', 'indices': [19, 27]}, {'text': 'Hyderabad', 'indices': [28, 38]}]",1391195997594812416
kumar856,2021-05-09 00:58:21,"Hello everyone, One of friend relative is looking for a ventilator bed in Hyderabad. SPO2 levels are fluctuating between 77-81%. Please let me know if you have any verified contacts Thanks",[],1391195805910847492
Hyderabadbot,2021-05-09 00:55:27,"@RachakondaCop @kparveen2005 @cyberabadpolice @hydcitypolice #OxygenCylinder - #Jumbo, Wants to purchase/ rent 

Reasonable price please.

Only verified contact number only.

DM me please.

#Hyderabad #Secunderabad 
#Telangana #AndhraPradesh 

#OxygenEmergency #OxygenCrisis
#Oxygen","[{'text': 'OxygenCylinder', 'indices': [74, 89]}, {'text': 'Jumbo', 'indices': [92, 98]}]",1391195074910949381
UNTGAPS,2021-05-09 00:55:07,"@RachakondaCop @kparveen2005 @cyberabadpolice @hydcitypolice #OxygenCylinder - #Jumbo, Wants to purchase/ rent 

Reasonable price please.

Only verified contact number only.

DM me please.

#Hyderabad #Secunderabad 
#Telangana #AndhraPradesh 

#OxygenEmergency #OxygenCrisis
#Oxygen","[{'text': 'OxygenCylinder', 'indices': [61, 76]}, {'text': 'Jumbo', 'indices': [79, 85]}, {'text': 'Hyderabad', 'indices': [190, 200]}, {'text': 'Secunderabad', 'indices': [201, 214]}, {'text': 'Telangana', 'indices': [216, 226]}, {'text': 'AndhraPradesh', 'indices': [227, 241]}, {'text': 'OxygenEmergency', 'indices': [244, 260]}, {'text': 'OxygenCrisis', 'indices': [261, 274]}, {'text': 'Oxygen', 'indices': [275, 282]}]",1391194988982067201
koushikntr1143,2021-05-09 00:48:34,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391193342457782272
its_my_accnt,2021-05-09 00:46:05,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391192718097874947
CVDResourcesBot,2021-05-09 00:44:50,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻

#Hyderabad 
#Covid19IndiaHelp 
#COVID19",[],1391192400836665345
Achaitu2,2021-05-09 00:44:44,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻

#Hyderabad 
#Covid19IndiaHelp 
#COVID19",[],1391192379135307776
majnu910,2021-05-09 00:43:43,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391192120459890688
PlutoSia,2021-05-09 00:41:27,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391191549078392833
vijayku63713293,2021-05-09 00:40:51,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻 @deepaksomisetty 

#Hyderabad 
#Covid19IndiaHelp  
#COVID19",[],1391191401178615808
vijayku63713293,2021-05-09 00:40:05,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391191206286090242
JpsPhilip,2021-05-09 00:25:25,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391187516456202240
CVDResourcesBot,2021-05-09 00:01:51,"#ICUbeds #Hyderabad
Aashritha multi specialty hospital
Mallapur, Hyderabad
9848029833, 
ICU beds available 
Verified by Tabeer at 6:40 pm on 08.05.2021

@cbsairhyd @TelanganaCMO  @SunRisers @KTRoffice @alluarjun @TelanganaDGP @TelanganaCOPs","[{'text': 'ICUbeds', 'indices': [19, 27]}, {'text': 'Hyderabad', 'indices': [28, 38]}]",1391181585924374531
oxygenUpdate1,2021-05-09 00:01:46,"#ICUbeds #Hyderabad
Aashritha multi specialty hospital
Mallapur, Hyderabad
9848029833, 
ICU beds available 
Verified by Tabeer at 6:40 pm on 08.05.2021

@cbsairhyd @TelanganaCMO  @SunRisers @KTRoffice @alluarjun @TelanganaDGP @TelanganaCOPs","[{'text': 'ICUbeds', 'indices': [0, 8]}, {'text': 'Hyderabad', 'indices': [9, 19]}]",1391181564214611972
I_MahanReddy,2021-05-08 23:56:51,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻 @deepaksomisetty 

#Hyderabad 
#Covid19IndiaHelp  
#COVID19",[],1391180327775731712
CVDResourcesBot,2021-05-08 23:41:48,"✅ Verified
HYDERABAD
Beds available with oxygen cylinders. 

Name: Shalivahana Hospital
Contact: 9866288866
Location: , Dilshuknagar, Hyderabad

Verified at 4:40 PM ,8-05-21
#Covid19IndiaHelp #Telangana",[],1391176540633845773
indradevi1911,2021-05-08 23:41:43,"✅ Verified
HYDERABAD
Beds available with oxygen cylinders. 

Name: Shalivahana Hospital
Contact: 9866288866
Location: , Dilshuknagar, Hyderabad

Verified at 4:40 PM ,8-05-21
#Covid19IndiaHelp #Telangana",[],1391176518928273413
CVDResourcesBot,2021-05-08 23:41:09,"✅ Verified 
HYDERABAD
Oxygen Bed and Normal Bed available

Name: TX Hospital
Conatct no : 7032117892
Location : TX Hospital ,Kachigudda, Hyedrabad 

Last Verified @ 8/5/21,5:15 PM

#Covid19IndiaHelp #Telangana",[],1391176375730589696
indradevi1911,2021-05-08 23:41:04,"✅ Verified 
HYDERABAD
Oxygen Bed and Normal Bed available

Name: TX Hospital
Conatct no : 7032117892
Location : TX Hospital ,Kachigudda, Hyedrabad 

Last Verified @ 8/5/21,5:15 PM

#Covid19IndiaHelp #Telangana",[],1391176354008166401
saikumar2514,2021-05-08 23:31:09,"#Hyderabad

ICU oxygen beds Available
Parathima hospital.
Kothapet.
8519996800

Verified by
@madihafatima27","[{'text': 'Hyderabad', 'indices': [19, 29]}]",1391173857923321858
Iampillodu,2021-05-08 23:12:30,"#Hydrabad #CovidHydrabad #SOSHyderabad 
Verified- 12:47 AM

Oxygen beds Available in Padmaja Hospital 
Kukatpally Hyderabad

contact 7288803555

Available at time of verification
Contact point verified; please ensure to do your due diligence before making any purchase https://t.co/juLwef3W9u","[{'text': 'Hydrabad', 'indices': [21, 30]}, {'text': 'CovidHydrabad', 'indices': [31, 45]}, {'text': 'SOSHyderabad', 'indices': [46, 59]}]",1391169165482815489
CVDResourcesBot,2021-05-08 23:11:40,"#Hydrabad #CovidHydrabad #SOSHyderabad 
Verified- 12:47 AM

Oxygen beds Available in Padmaja Hospital 
Kukatpally Hyderabad

contact 7288803555

Available at time of verification
Contact point verified; please ensure to do your due diligence before making any purchase https://t.co/juLwef3W9u","[{'text': 'Hydrabad', 'indices': [21, 30]}, {'text': 'CovidHydrabad', 'indices': [31, 45]}, {'text': 'SOSHyderabad', 'indices': [46, 59]}]",1391168955256037376
ZarqaManzoor,2021-05-08 23:11:35,"#Hydrabad #CovidHydrabad #SOSHyderabad 
Verified- 12:47 AM

Oxygen beds Available in Padmaja Hospital 
Kukatpally Hyderabad

contact 7288803555

Available at time of verification
Contact point verified; please ensure to do your due diligence before making any purchase https://t.co/juLwef3W9u","[{'text': 'Hydrabad', 'indices': [21, 30]}, {'text': 'CovidHydrabad', 'indices': [31, 45]}, {'text': 'SOSHyderabad', 'indices': [46, 59]}]",1391168933651124224
harish_sara,2021-05-08 22:45:51,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [105, 115]}]",1391162459990335488
harish_sara,2021-05-08 22:44:51,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391162207048667139
elitemohammed,2021-05-08 22:25:14,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391157272487727109
Gauravyadav3275,2021-05-08 22:16:26,"102 Hospitals with #Beds available at #Hyderabad. 33 Verified today few hours ago. 

Check https://t.co/R1GKHCe4Yk for full list.  Our team of 40 volunteers manually call the hospitals and update the data everyday.

@HiHyderabad @vensykrishna @MusicThaman https://t.co/IHP8CCUrKJ","[{'text': 'Beds', 'indices': [35, 40]}, {'text': 'Hyderabad', 'indices': [54, 64]}]",1391155055470858240
Hyderabadbot,2021-05-08 22:15:24,"10 Ventilator beds available!!!
Call the number below and go to hospital. Just verified. @1.30pm 8th May.
SHRESTA ORANGE HOSPITALS, LB NAGAR.
Contact : DR ANOOP
NUMBER : 9948542103

#SOSHyderabad #BedsAvailability #BedsAvailable #CovidHelp #CovidResources #Hyderabad",[],1391154797022228482
raghavendraraju,2021-05-08 22:14:23,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391154539265503232
Shoaibbhimani,2021-05-08 22:11:23,"10 Ventilator beds available!!!
Call the number below and go to hospital. Just verified. @1.30pm 8th May.
SHRESTA ORANGE HOSPITALS, LB NAGAR.
Contact : DR ANOOP
NUMBER : 9948542103

#SOSHyderabad #BedsAvailability #BedsAvailable #CovidHelp #CovidResources #Hyderabad",[],1391153784349364225
mohan0784,2021-05-08 22:10:33,"102 Hospitals with #Beds available at #Hyderabad. 33 Verified today few hours ago. 

Check https://t.co/R1GKHCe4Yk for full list.  Our team of 40 volunteers manually call the hospitals and update the data everyday.

@HiHyderabad @vensykrishna @MusicThaman https://t.co/IHP8CCUrKJ","[{'text': 'Beds', 'indices': [35, 40]}, {'text': 'Hyderabad', 'indices': [54, 64]}]",1391153574806052869
Raqif_M,2021-05-08 22:01:43,"#Hydrabad #CovidHydrabad #SOSHyderabad 
Verified- 12:47 AM

Oxygen beds Available in Padmaja Hospital 
Kukatpally Hyderabad

contact 7288803555

Available at time of verification
Contact point verified; please ensure to do your due diligence before making any purchase https://t.co/juLwef3W9u","[{'text': 'Hydrabad', 'indices': [21, 30]}, {'text': 'CovidHydrabad', 'indices': [31, 45]}, {'text': 'SOSHyderabad', 'indices': [46, 59]}]",1391151353670500352
thenotoriousimi,2021-05-08 22:01:14,"#Hydrabad #CovidHydrabad #SOSHyderabad 
Verified- 12:47 AM

Oxygen beds Available in Padmaja Hospital 
Kukatpally Hyderabad

contact 7288803555

Available at time of verification
Contact point verified; please ensure to do your due diligence before making any purchase https://t.co/juLwef3W9u","[{'text': 'Hydrabad', 'indices': [0, 9]}, {'text': 'CovidHydrabad', 'indices': [10, 24]}, {'text': 'SOSHyderabad', 'indices': [25, 38]}]",1391151229313503234
CVDResourcesBot,2021-05-08 21:42:32,"102 Hospitals with #Beds available at #Hyderabad. 33 Verified today few hours ago. 

Check https://t.co/R1GKHCe4Yk for full list.  Our team of 40 volunteers manually call the hospitals and update the data everyday.

@HiHyderabad @vensykrishna @MusicThaman https://t.co/IHP8CCUrKJ","[{'text': 'Beds', 'indices': [35, 40]}, {'text': 'Hyderabad', 'indices': [54, 64]}]",1391146526601269250
LadDeccan,2021-05-08 21:42:27,"102 Hospitals with #Beds available at #Hyderabad. 33 Verified today few hours ago. 

Check https://t.co/R1GKHCe4Yk for full list.  Our team of 40 volunteers manually call the hospitals and update the data everyday.

@HiHyderabad @vensykrishna @MusicThaman https://t.co/IHP8CCUrKJ","[{'text': 'Beds', 'indices': [35, 40]}, {'text': 'Hyderabad', 'indices': [54, 64]}]",1391146504610484224
ashuagg,2021-05-08 21:25:28,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391142229691944961
StopLossLagaKe,2021-05-08 21:07:10,"AVAILABLE - #OxygenBeds in #Hyderabad #CovidHelpHyderabad 

Contact - 9246598086, Apoorva Hospital

VERIFIED at 7:03 pm, May 8th

#BedsAvailability #Oxygen #OxygenBeds #OxygenCrisis #COVID19India #Hyderabad #CovidResources #COVIDSecondWave","[{'text': 'OxygenBeds', 'indices': [31, 42]}, {'text': 'Hyderabad', 'indices': [46, 56]}, {'text': 'CovidHelpHyderabad', 'indices': [57, 76]}]",1391137626384527361
KRaju29878,2021-05-08 20:57:30,"#Hyderabad

ICU oxygen beds Available
Parathima hospital.
Kothapet.
8519996800

Verified by
@madihafatima27","[{'text': 'Hyderabad', 'indices': [19, 29]}]",1391135193541480450
CVDResourcesBot,2021-05-08 20:57:20,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻 @deepaksomisetty 

#Hyderabad 
#Covid19IndiaHelp  
#COVID19",[],1391135151111950336
GanesanUttej,2021-05-08 20:57:15,"20 oxygen beds available at Padmaja Hospital, KPHB 🏥

Contact : 7981771821 ☎

Admitting patient's whose satuarion level is on or above 88 only 🙏🏻

Verified by me at 04:42 PM 👍🏻 @deepaksomisetty 

#Hyderabad 
#Covid19IndiaHelp  
#COVID19",[],1391135129330872323
ZenDesign10,2021-05-08 20:46:52,"#Hyderabad

ICU oxygen beds Available
Parathima hospital.
Kothapet.
8519996800

Verified by
@madihafatima27","[{'text': 'Hyderabad', 'indices': [19, 29]}]",1391132516371755011
Gauravyadav3275,2021-05-08 20:46:42,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [104, 114]}]",1391132475401904128
CVDResourcesBot,2021-05-08 20:43:48,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [104, 114]}]",1391131745748230146
RjAvin,2021-05-08 20:43:43,"Oxygen beds Available
ICU beds Available.
(Pre-Book)
Virinchi Hospital.
8008003109.
#Hyderabad
Verified.","[{'text': 'Hyderabad', 'indices': [104, 114]}]",1391131723744747522
Samuntr55,2021-05-08 20:40:07,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391130816361598977
CVDResourcesBot,2021-05-08 20:36:13,"10 Ventilator beds available!!!
Call the number below and go to hospital. Just verified. @1.30pm 8th May.
SHRESTA ORANGE HOSPITALS, LB NAGAR.
Contact : DR ANOOP
NUMBER : 9948542103

#SOSHyderabad #BedsAvailability #BedsAvailable #CovidHelp #CovidResources #Hyderabad",[],1391129837834801154
shrutikapoor08,2021-05-08 20:36:08,"10 Ventilator beds available!!!
Call the number below and go to hospital. Just verified. @1.30pm 8th May.
SHRESTA ORANGE HOSPITALS, LB NAGAR.
Contact : DR ANOOP
NUMBER : 9948542103

#SOSHyderabad #BedsAvailability #BedsAvailable #CovidHelp #CovidResources #Hyderabad",[],1391129816259203073
Gauravyadav3275,2021-05-08 20:36:02,"Oxygen cylinder available
• Contact- +91 8303960744
• Location -- Hyderabad
• Do not pay in advance
• Verified time-- 10:15, 08/06/2021",[],1391129788375441409
CVDResourcesBot,2021-05-08 20:35:51,"Oxygen cylinder available
• Contact- +91 8303960744
• Location -- Hyderabad
• Do not pay in advance
• Verified time-- 10:15, 08/06/2021",[],1391129743140003840
SSMB_082775,2021-05-08 20:35:46,"Oxygen cylinder available
• Contact- +91 8303960744
• Location -- Hyderabad
• Do not pay in advance
• Verified time-- 10:15, 08/06/2021",[],1391129721476321281
CVDResourcesBot,2021-05-08 20:31:41,"AVAILABLE - #OxygenBeds in #Hyderabad #CovidHelpHyderabad 

Contact - 9246598086, Apoorva Hospital

VERIFIED at 7:03 pm, May 8th

#BedsAvailability #Oxygen #OxygenBeds #OxygenCrisis #COVID19India #Hyderabad #CovidResources #COVIDSecondWave","[{'text': 'OxygenBeds', 'indices': [31, 42]}, {'text': 'Hyderabad', 'indices': [46, 56]}, {'text': 'CovidHelpHyderabad', 'indices': [57, 76]}]",1391128695310635008
NaveenAnakala,2021-05-08 20:31:36,"AVAILABLE - #OxygenBeds in #Hyderabad #CovidHelpHyderabad 

Contact - 9246598086, Apoorva Hospital

VERIFIED at 7:03 pm, May 8th

#BedsAvailability #Oxygen #OxygenBeds #OxygenCrisis #COVID19India #Hyderabad #CovidResources #COVIDSecondWave","[{'text': 'OxygenBeds', 'indices': [12, 23]}, {'text': 'Hyderabad', 'indices': [27, 37]}, {'text': 'CovidHelpHyderabad', 'indices': [38, 57]}, {'text': 'BedsAvailability', 'indices': [130, 147]}, {'text': 'Oxygen', 'indices': [148, 155]}, {'text': 'OxygenBeds', 'indices': [156, 167]}, {'text': 'OxygenCrisis', 'indices': [168, 181]}, {'text': 'COVID19India', 'indices': [182, 195]}, {'text': 'Hyderabad', 'indices': [196, 206]}, {'text': 'CovidResources', 'indices': [207, 222]}, {'text': 'COVIDSecondWave', 'indices': [223, 239]}]",1391128673525194752
Hyderabadbot,2021-05-08 20:30:22,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th
#BedsAvailability #Oxygen #Hyderabadcovidhelp #Hyderabad #COVID19India #CovidResources","[{'text': 'BIPAP', 'indices': [33, 39]}, {'text': 'OxygenBeds', 'indices': [52, 63]}, {'text': 'Hyderabad', 'indices': [67, 77]}]",1391128364547723270
resource_botIN,2021-05-08 20:29:41,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th
#BedsAvailability #Oxygen #Hyderabadcovidhelp #Hyderabad #COVID19India #CovidResources","[{'text': 'BIPAP', 'indices': [33, 39]}, {'text': 'OxygenBeds', 'indices': [52, 63]}, {'text': 'Hyderabad', 'indices': [67, 77]}]",1391128190052143104
CVDResourcesBot,2021-05-08 20:27:55,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th
#BedsAvailability #Oxygen #Hyderabadcovidhelp #Hyderabad #COVID19India #CovidResources","[{'text': 'BIPAP', 'indices': [33, 39]}, {'text': 'OxygenBeds', 'indices': [52, 63]}, {'text': 'Hyderabad', 'indices': [67, 77]}]",1391127746181488645
NaveenAnakala,2021-05-08 20:27:50,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th
#BedsAvailability #Oxygen #Hyderabadcovidhelp #Hyderabad #COVID19India #CovidResources","[{'text': 'BIPAP', 'indices': [14, 20]}, {'text': 'OxygenBeds', 'indices': [33, 44]}, {'text': 'Hyderabad', 'indices': [48, 58]}, {'text': 'BedsAvailability', 'indices': [142, 159]}, {'text': 'Oxygen', 'indices': [160, 167]}, {'text': 'Hyderabadcovidhelp', 'indices': [168, 187]}, {'text': 'Hyderabad', 'indices': [188, 198]}, {'text': 'COVID19India', 'indices': [199, 212]}, {'text': 'CovidResources', 'indices': [213, 228]}]",1391127724501049344
anna29296,2021-05-08 20:22:32,"AVAILABLE - 2 #BIPAP Beds and 
2 #OxygenBeds in #Hyderabad

Contact : Sri Multispeciality Hospital, 
9182640071

VERIFIED at 8:25 pm, May 8th","[{'text': 'BIPAP', 'indices': [32, 38]}, {'text': 'OxygenBeds', 'indices': [51, 62]}, {'text': 'Hyderabad', 'indices': [66, 76]}]",1391126391337361408
CVDResourcesBot,2021-05-08 20:22:18,"AVAILABLE - #OxygenConcentrators in #Hyderabad #CovidHelpHyderabad

Contact: Daksha Meditech. 
7013632852

VERIFIED at 4:55 pm, May 8th

#Oxygen #Hyderabad #Hyderabadcovidhelp #COVID19India","[{'text': 'OxygenConcentrators', 'indices': [31, 51]}, {'text': 'Hyderabad', 'indices': [55, 65]}, {'text': 'CovidHelpHyderabad', 'indices': [66, 85]}]",1391126334496202753
NaveenAnakala,2021-05-08 20:22:13,"AVAILABLE - #OxygenConcentrators in #Hyderabad #CovidHelpHyderabad

Contact: Daksha Meditech. 
7013632852

VERIFIED at 4:55 pm, May 8th

#Oxygen #Hyderabad #Hyderabadcovidhelp #COVID19India","[{'text': 'OxygenConcentrators', 'indices': [12, 32]}, {'text': 'Hyderabad', 'indices': [36, 46]}, {'text': 'CovidHelpHyderabad', 'indices': [47, 66]}, {'text': 'Oxygen', 'indices': [137, 144]}, {'text': 'Hyderabad', 'indices': [145, 155]}, {'text': 'Hyderabadcovidhelp', 'indices': [156, 175]}, {'text': 'COVID19India', 'indices': [176, 189]}]",1391126312320860161
absrik19,2021-05-08 20:20:50,"20 oxygen beds available In #Hyderabad 
Padmaja Hospital : 7981771821.

Verified by our Volunteer 
Amplify kindly
@TajinderBagga @CharuPragya @RubikaLiyaquat @Abhiemanyu @upma23 @AskAnshul @ashokepandit @amarprasadreddy @iSinghApurva 

#TeamFightAgainstCovid","[{'text': 'Hyderabad', 'indices': [41, 51]}]",1391125965196062720
